steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.0048,50,-0.0048,1,0
100,2,-0.008399999999999996,50,-0.003600000000000001,2,0
150,3,-0.013200000000000009,50,-0.0048,3,0
200,4,-0.018000000000000002,50,-0.0048,4,0
250,5,-0.023999999999999966,50,-0.0059999999999999975,5,0
300,6,-0.029399999999999933,50,-0.0053999999999999986,6,0
350,7,-0.0343999999999999,50,-0.004999999999999999,7,0
400,8,-0.03859999999999988,50,-0.004200000000000001,8,0
450,9,-0.043999999999999845,50,-0.0053999999999999986,9,0
500,10,-0.04779999999999982,50,-0.0038000000000000013,10,0
600,12,-0.057399999999999764,50,-0.0044,12,0
700,14,-0.0683999999999999,50,-0.005599999999999998,14,0
850,17,-0.08500000000000038,50,-0.0048,17,0
1000,20,-0.09800000000000075,50,-0.0048,20,0
1250,25,-0.12180000000000143,50,-0.0038000000000000013,25,0
1500,30,-0.14440000000000208,50,-0.003600000000000001,30,0
2000,40,-0.19580000000000355,50,-0.0053999999999999986,40,0
2500,50,-0.24680000000000502,50,-0.0044,50,0
3000,60,-0.29879999999999973,50,-0.005599999999999998,60,0
3500,70,-0.3517999999999939,50,-0.0046,70,0
4000,80,-0.40219999999998834,50,-0.0038000000000000013,80,0
4500,90,-0.4469999999999834,50,-0.0046,90,0
5000,100,-0.49759999999997784,50,-0.0048,100,0
6000,120,-0.595999999999967,50,-0.0044,120,0
7000,140,-0.6925999999999564,50,-0.0053999999999999986,140,0
8500,170,-0.8335999999999408,50,-0.0044,170,0
10000,200,-0.9875999999999239,50,-0.004000000000000001,200,0
12500,250,-1.2457999999998954,50,-0.004200000000000001,250,0
15000,300,-1.4893999999998686,50,-0.0044,300,0
20000,400,-1.9813999999998144,50,-0.005199999999999999,400,0
25000,500,-2.47939999999976,50,-0.0046,500,0
30000,600,-2.9901999999997035,50,-0.005199999999999999,600,0
35000,700,-3.4807999999996495,50,-0.0048,700,0
40000,800,-3.9723999999995954,50,-0.006199999999999997,800,0
45000,900,-4.464400000000572,50,-0.004999999999999999,900,0
50000,1000,-4.9478000000015925,50,-0.005599999999999998,1000,0
60000,1200,-5.887400000003575,50,-0.005199999999999999,1200,0
70000,1400,-6.813200000005529,50,-0.0044,1400,0
85000,1700,-8.217200000007526,50,-0.004200000000000001,1700,0
100000,2000,-9.599600000004305,50,-0.004999999999999999,2000,0
125000,2500,-11.923799999998888,50,-0.0044,2500,0
150000,3000,-14.228399999993517,50,-0.004999999999999999,3000,0
200000,4000,-18.824199999982806,50,-0.0048,4000,0
250000,5000,-23.42699999997208,50,-0.0044,5000,0
300000,6000,-27.990799999961443,50,-0.004200000000000001,6000,0
350000,7000,-32.53019999995087,50,-0.004200000000000001,7000,0
400000,8000,-37.06859999994029,50,-0.0044,8000,0
450000,9000,-41.60319999992972,50,-0.004999999999999999,9000,0
500000,10000,-46.13899999991915,50,-0.005599999999999998,10000,0
