steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
2,1,1.0,2,1.0,1,0.0
4,2,2.0,2,1.0,2,0.0
6,3,1.0,2,-1.0,2,2.0
8,4,2.0,2,1.0,3,2.0
10,5,1.0,2,-1.0,3,4.0
12,6,0.0,2,-1.0,3,6.0
14,7,-1.0,2,-1.0,3,8.0
16,8,-2.0,2,-1.0,3,10.0
18,9,-1.0,2,1.0,4,10.0
20,10,-2.0,2,-1.0,4,12.0
24,12,-4.0,2,-1.0,4,16.0
28,14,-6.0,2,-1.0,4,20.0
34,17,-5.0,2,-1.0,6,22.0
40,20,-6.0,2,1.0,7,26.0
50,25,-5.0,2,1.0,10,30.0
60,30,-8.0,2,-1.0,11,38.0
80,40,-8.0,2,1.0,16,48.0
100,50,-8.0,2,1.0,21,58.0
120,60,-4.0,2,1.0,28,64.0
140,70,-8.0,2,-1.0,31,78.0
160,80,-12.0,2,1.0,34,92.0
180,90,-10.0,2,1.0,40,100.0
200,100,-12.0,2,-1.0,44,112.0
240,120,-12.0,2,-1.0,54,132.0
280,140,-16.0,2,-1.0,62,156.0
340,170,-14.0,2,1.0,78,184.0
400,200,-12.0,2,1.0,94,212.0
500,250,-12.0,2,1.0,119,262.0
600,300,-26.0,2,1.0,137,326.0
800,400,-48.0,2,1.0,176,448.0
1000,500,-56.0,2,1.0,222,556.0
1200,600,-4.0,2,1.0,298,604.0
1400,700,50.0,2,-1.0,375,650.0
1600,800,120.0,2,1.0,460,680.0
1800,900,198.0,2,1.0,549,702.0
2000,1000,290.0,2,1.0,645,710.0
2400,1200,476.0,2,1.0,838,724.0
2800,1400,666.0,2,1.0,1033,734.0
3400,1700,952.0,2,1.0,1326,748.0
4000,2000,1228.0,2,1.0,1614,772.0
5000,2500,1702.0,2,1.0,2101,798.0
6000,3000,2184.0,2,1.0,2592,816.0
8000,4000,3118.0,2,1.0,3559,882.0
10000,5000,4068.0,2,1.0,4534,932.0
12000,6000,5018.0,2,1.0,5509,982.0
14000,7000,5982.0,2,1.0,6491,1018.0
16000,8000,6916.0,2,1.0,7458,1084.0
18000,9000,7862.0,2,1.0,8431,1138.0
20000,10000,8806.0,2,1.0,9403,1194.0
