steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.001,1,-0.001,2.0
2,2,-0.002,1,-0.001,4.0
3,3,-0.003,1,-0.001,6.0
4,4,-0.004,1,-0.001,8.0
5,5,-0.003,1,0.001,8.0
6,6,-0.004,1,-0.001,10.0
7,7,-0.005,1,-0.001,12.0
8,8,-0.006,1,-0.001,14.0
9,9,-0.005,1,0.001,14.0
10,10,-0.006,1,-0.001,16.0
12,12,-0.008,1,-0.001,20.0
14,14,-0.010000000000000002,1,-0.001,24.0
17,17,-0.011000000000000003,1,-0.001,28.0
20,20,-0.014000000000000005,1,-0.001,34.0
25,25,-0.01900000000000001,1,-0.001,44.0
30,30,-0.024000000000000014,1,-0.001,54.0
40,40,-0.03200000000000002,1,-0.001,72.0
50,50,-0.04200000000000003,1,-0.001,92.0
60,60,-0.048000000000000036,1,-0.001,108.0
70,70,-0.05400000000000004,1,-0.001,124.0
80,80,-0.06200000000000005,1,-0.001,142.0
90,90,-0.07200000000000005,1,-0.001,162.0
100,100,-0.08000000000000006,1,-0.001,180.0
120,120,-0.09800000000000007,1,-0.001,218.0
140,140,-0.11200000000000009,1,0.001,252.0
170,170,-0.1360000000000001,1,-0.001,306.0
200,200,-0.16000000000000011,1,-0.001,360.0
250,250,-0.20200000000000015,1,-0.001,452.0
300,300,-0.2480000000000002,1,0.001,548.0
400,400,-0.32600000000000023,1,-0.001,726.0
500,500,-0.4180000000000003,1,-0.001,918.0
600,600,-0.4940000000000004,1,-0.001,1094.0
700,700,-0.5820000000000004,1,-0.001,1282.0
800,800,-0.6640000000000005,1,-0.001,1464.0
900,900,-0.7480000000000006,1,-0.001,1648.0
1000,1000,-0.8260000000000006,1,-0.001,1826.0
1200,1200,-0.9840000000000008,1,-0.001,2184.0
1400,1400,-1.1479999999999844,1,-0.001,2548.0
1700,1700,-1.387999999999958,1,0.001,3088.0
2000,2000,-1.6259999999999317,1,-0.001,3626.0
2500,2500,-2.033999999999887,1,-0.001,4534.0
3000,3000,-2.443999999999842,1,-0.001,5444.0
4000,4000,-3.2359999999997546,1,0.001,7236.0
5000,5000,-4.05799999999969,1,-0.001,9058.0
6000,6000,-4.857999999999957,1,-0.001,10858.0
7000,7000,-5.67600000000023,1,-0.001,12676.0
8000,8000,-6.508000000000508,1,-0.001,14508.0
9000,9000,-7.2880000000007685,1,-0.001,16288.0
10000,10000,-8.076000000000963,1,0.001,18076.0
