steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.6000000000000001,1,0.6000000000000001,0.3999999999999999
2,2,1.2000000000000002,1,0.6000000000000001,0.7999999999999998
3,3,1.5000000000000002,1,0.30000000000000004,1.4999999999999998
4,4,2.0,1,0.5,1.9999999999999998
5,5,3.0,1,1.0,1.9999999999999998
6,6,3.8,1,0.8,2.1999999999999997
7,7,4.1,1,0.30000000000000004,2.8999999999999995
8,8,4.3,1,0.2,3.6999999999999993
9,9,5.2,1,0.9,3.7999999999999994
10,10,6.1000000000000005,1,0.9,3.8999999999999995
12,12,7.1000000000000005,1,0.8,4.8999999999999995
14,14,8.3,1,0.7000000000000001,5.699999999999999
17,17,10.100000000000001,1,0.8,6.8999999999999995
20,20,11.4,1,0.6000000000000001,8.6
25,25,14.4,1,0.4,10.6
30,30,16.099999999999998,1,0.4,13.9
40,40,19.599999999999998,1,0.4,20.400000000000002
50,50,26.799999999999997,1,0.9,23.200000000000003
60,60,32.3,1,0.1,27.700000000000003
70,70,35.6,1,0.7000000000000001,34.4
80,80,40.50000000000001,1,0.4,39.49999999999999
90,90,46.599999999999994,1,0.30000000000000004,43.400000000000006
100,100,53.3,1,0.4,46.7
120,120,63.60000000000001,1,0.6000000000000001,56.39999999999999
140,140,74.30000000000003,1,0.9,65.69999999999999
170,170,89.20000000000003,1,0.2,80.79999999999998
200,200,101.2,1,0.9,98.80000000000001
250,250,127.99999999999999,1,1.0,122.00000000000003
300,300,153.09999999999994,1,1.0,146.90000000000003
400,400,201.79999999999993,1,1.0,198.20000000000005
500,500,256.2,1,0.1,243.79999999999998
600,600,303.0999999999999,1,1.0,296.90000000000003
700,700,350.7000000000001,1,0.30000000000000004,349.29999999999984
800,800,400.1000000000001,1,0.7000000000000001,399.89999999999986
900,900,447.4000000000001,1,0.8,452.59999999999985
1000,1000,497.7,1,0.4,502.29999999999995
1200,1200,619.7000000000002,1,1.0,580.2999999999998
1400,1400,814.2000000000002,1,1.0,585.7999999999998
1700,1700,1108.1000000000001,1,1.0,591.8999999999999
2000,2000,1401.2,1,1.0,598.8
2500,2500,1889.2000000000003,1,1.0,610.8000000000001
3000,3000,2381.6,1,1.0,618.4
4000,4000,3359.2,1,1.0,640.8
5000,5000,4336.800000000001,1,0.2,663.2000000000003
6000,6000,5315.099999999999,1,1.0,684.9000000000001
7000,7000,6292.900000000002,1,1.0,707.1000000000001
8000,8000,7259.0000000000055,1,1.0,741.0000000000001
9000,9000,8227.300000000003,1,1.0,772.6999999999998
10000,10000,9199.300000000001,1,1.0,800.6999999999999
