steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.005500000000000001,20,-0.005500000000000001,1,0
40,2,-0.010500000000000006,20,-0.005000000000000001,2,0
60,3,-0.01700000000000001,20,-0.006500000000000002,3,0
80,4,-0.023000000000000017,20,-0.006000000000000002,4,0
100,5,-0.02800000000000002,20,-0.005000000000000001,5,0
120,6,-0.03250000000000002,20,-0.0045000000000000005,6,0
140,7,-0.03800000000000003,20,-0.005500000000000001,7,0
160,8,0.3650667078025826,20,0.40306670780258264,8,0
180,9,0.6774262075536801,20,0.31235949975109756,9,0
200,10,0.6734262075536805,20,-0.004,10,0
240,12,0.660426207553682,20,-0.006000000000000002,11,0
280,14,0.1873630832750347,20,-0.46706312427864843,13,0
340,17,-0.6160212318612586,20,-0.003,16,0
400,20,-0.6335212318612566,20,-0.006000000000000002,19,0
500,25,-0.8204166781063131,20,-0.005500000000000001,24,0
600,30,-0.8479166781063101,20,-0.005500000000000001,28,0
800,40,1.680604573014006,20,-0.005000000000000001,37,0
1000,50,4.159288542308172,20,2.2918658485834174,46,0
1200,60,3.5396590206552574,20,-0.005000000000000001,56,0
1400,70,3.290972046918118,20,-0.007000000000000003,66,0
1600,80,4.365983076899275,20,-0.005000000000000001,76,0
1800,90,5.5393432199873045,20,1.2248601430879984,86,0
2000,100,4.982724662746321,20,-0.005500000000000001,96,0
2400,120,3.250405730831178,20,-0.49965183075935765,114,0
2800,140,0.7231011107087846,20,-0.006500000000000002,133,0
3400,170,1.2447005289920021,20,-0.005500000000000001,160,0
4000,200,8.158541910563743,20,-0.004,188,0
5000,250,7.528358453796684,20,-0.005500000000000001,236,0
6000,300,8.528289482138039,20,-0.006000000000000002,286,0
8000,400,10.380665758254787,20,-0.006500000000000002,384,0
10000,500,13.136674314443134,20,1.5634755420978317,484,0
12000,600,14.646137930122476,20,-0.005500000000000001,583,0
14000,700,6.079910271094025,20,-0.0045000000000000005,681,0
16000,800,-7.646318674679638,20,-1.1063339439161217,777,0
18000,900,-13.334559640432781,20,1.3178744738399948,872,0
20000,1000,-17.21876129837475,20,-0.004,971,0
24000,1200,-8.590582201079481,20,-0.005500000000000001,1165,0
28000,1400,-1.220294550942865,20,-0.004,1364,0
34000,1700,-11.63651432798626,20,-0.0045000000000000005,1664,0
40000,2000,-10.169163429948355,20,-2.9315086102991583,1963,0
50000,2500,-28.250146290536748,20,-0.0045000000000000005,2447,0
60000,3000,-26.303670272756445,20,-0.47081770675310297,2942,0
80000,4000,-19.225087818450447,20,-0.005500000000000001,3929,0
100000,5000,-26.295618000950853,20,-0.0035,4922,0
120000,6000,-23.292614421506876,20,-0.2660062157396762,5901,0
140000,7000,-10.944510209552826,20,-0.005000000000000001,6871,0
160000,8000,0.5504780861778484,20,-0.005000000000000001,7849,0
180000,9000,-9.59088894177446,20,-1.4868320357349465,8839,0
200000,10000,-18.879186136657786,20,-0.004,9813,0
