steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,1.0,3,-1.0,2,2.0
12,4,2.0,3,1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,4.0,3,1.0,5,2.0
21,7,5.0,3,1.0,6,2.0
24,8,6.0,3,1.0,7,2.0
27,9,7.0,3,1.0,8,2.0
30,10,6.0,3,-1.0,8,4.0
36,12,4.0,3,-1.0,8,8.0
42,14,4.0,3,1.0,9,10.0
51,17,5.0,3,-1.0,11,12.0
60,20,4.0,3,-1.0,12,16.0
75,25,1.0,3,-1.0,13,24.0
90,30,4.0,3,1.0,17,26.0
120,40,6.0,3,1.0,23,34.0
150,50,8.0,3,1.0,29,42.0
180,60,8.0,3,-1.0,34,52.0
210,70,6.0,3,-1.0,38,64.0
240,80,4.0,3,-1.0,42,76.0
270,90,6.0,3,1.0,48,84.0
300,100,8.0,3,1.0,54,92.0
360,120,8.0,3,1.0,64,112.0
420,140,6.0,3,1.0,73,134.0
510,170,14.0,3,-1.0,92,156.0
600,200,22.0,3,-1.0,111,178.0
750,250,22.0,3,1.0,136,228.0
900,300,18.0,3,-1.0,159,282.0
1200,400,6.0,3,1.0,203,394.0
1500,500,-8.0,3,1.0,246,508.0
1800,600,-14.0,3,-1.0,293,614.0
2100,700,-16.0,3,-1.0,342,716.0
2400,800,-14.0,3,1.0,393,814.0
2700,900,-36.0,3,-1.0,432,936.0
3000,1000,-44.0,3,-1.0,478,1044.0
3600,1200,-52.0,3,-1.0,574,1252.0
4200,1400,-66.0,3,1.0,667,1466.0
5100,1700,-92.0,3,-1.0,804,1792.0
6000,2000,-94.0,3,1.0,953,2094.0
7500,2500,-90.0,3,1.0,1205,2590.0
9000,3000,-106.0,3,-1.0,1447,3106.0
12000,4000,-100.0,3,-1.0,1950,4100.0
15000,5000,-38.0,3,-1.0,2481,5038.0
18000,6000,-68.0,3,1.0,2966,6068.0
21000,7000,-86.0,3,-1.0,3457,7086.0
24000,8000,-122.0,3,-1.0,3939,8122.0
27000,9000,-146.0,3,1.0,4427,9146.0
30000,10000,-134.0,3,1.0,4933,10134.0
