steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-7.0,1,1.0,16.0
10,10,-6.0,1,1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-9.0,1,-1.0,26.0
20,20,-12.0,1,-1.0,32.0
25,25,-17.0,1,-1.0,42.0
30,30,-20.0,1,1.0,50.0
40,40,-30.0,1,-1.0,70.0
50,50,-40.0,1,-1.0,90.0
60,60,-48.0,1,-1.0,108.0
70,70,-56.0,1,1.0,126.0
80,80,-64.0,1,-1.0,144.0
90,90,-72.0,1,-1.0,162.0
100,100,-80.0,1,-1.0,180.0
120,120,-96.0,1,-1.0,216.0
140,140,-112.0,1,-1.0,252.0
170,170,-136.0,1,-1.0,306.0
200,200,-166.0,1,-1.0,366.0
250,250,-212.0,1,-1.0,462.0
300,300,-256.0,1,-1.0,556.0
400,400,-336.0,1,-1.0,736.0
500,500,-404.0,1,-1.0,904.0
600,600,-478.0,1,-1.0,1078.0
700,700,-552.0,1,1.0,1252.0
800,800,-624.0,1,-1.0,1424.0
900,900,-690.0,1,-1.0,1590.0
1000,1000,-768.0,1,-1.0,1768.0
1200,1200,-932.0,1,-1.0,2132.0
1400,1400,-1084.0,1,-1.0,2484.0
1700,1700,-1304.0,1,-1.0,3004.0
2000,2000,-1522.0,1,-1.0,3522.0
2500,2500,-1864.0,1,-1.0,4364.0
3000,3000,-2198.0,1,-1.0,5198.0
4000,4000,-2852.0,1,1.0,6852.0
5000,5000,-3472.0,1,-1.0,8472.0
6000,6000,-4034.0,1,1.0,10034.0
7000,7000,-4534.0,1,1.0,11534.0
8000,8000,-5052.0,1,1.0,13052.0
9000,9000,-5552.0,1,1.0,14552.0
10000,10000,-6016.0,1,-1.0,16016.0
