steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0110914962324096,1,-1.0110914962324096,2.0
2,2,-2.0043457557753936,1,-0.9932542595429841,4.0
3,3,-3.0794763431324403,1,-1.075130587357047,6.0
4,4,-4.048737126051927,1,-0.9692607829194865,8.0
5,5,-5.065152350468892,1,-1.0164152244169644,10.0
6,6,-6.246304291366663,1,-1.1811519408977706,12.0
7,7,-7.26778247064499,1,-1.0214781792783274,14.0
8,8,-8.288575704657546,1,-1.0207932340125567,16.0
9,9,-9.224349285961447,1,-0.9357735813038996,18.0
10,10,-10.28271399066631,1,-1.0583647047048623,20.0
12,12,-12.092475610555594,1,-0.9161680744363905,24.0
14,14,-14.112414268172401,1,-0.9302898311185468,28.0
17,17,-15.273872876055641,1,-1.1177218600202352,32.0
20,20,-18.18883988051312,1,-1.019692220477998,38.0
25,25,-21.130777763333793,1,-1.0266668544336635,46.0
30,30,-26.338032539133557,1,-1.1534669055715157,56.0
40,40,-35.083930841775235,1,-1.1052849032548326,74.0
50,50,-41.35010603091724,1,-1.1630130580411784,90.0
60,60,-51.29999668752221,1,-0.9339616273781216,110.0
70,70,-59.48143124371194,1,-0.9192492699445859,128.0
80,80,-67.35258678064588,1,-0.843503822299597,146.0
90,90,-76.02644277816451,1,-0.9023279371371615,164.0
100,100,-86.35333630259284,1,-1.1374239761733655,184.0
120,120,-105.26514768697572,1,-1.2185094645777343,222.0
140,140,-123.18052568657497,1,-1.2679912801574267,260.0
170,170,-147.16152927846048,1,-1.0827571827662312,314.0
200,200,-170.30135818815876,1,-0.9710096607429313,366.0
250,250,-213.0394530971453,1,-1.0844258302969947,458.0
300,300,-250.6902179902533,1,1.1258753642853725,546.0
400,400,-342.7516892815274,1,-1.044180930779072,738.0
500,500,-425.1666700811424,1,-1.104065609404039,920.0
600,600,-497.9883634201734,1,-1.0070637800275932,1092.0
700,700,-577.6993306460419,1,-0.9690919310834022,1272.0
800,800,-657.8644114262135,1,-1.0171193194154542,1452.0
900,900,-724.2711536542905,1,-0.9374917975728615,1620.0
1000,1000,-814.6343520657621,1,-0.939911316050285,1810.0
1200,1200,-964.5069547217582,1,-1.0013773261035257,2160.0
1400,1400,-1129.9417241154501,1,-0.9830170523030679,2526.0
1700,1700,-1350.4721555764856,1,1.0301161537778314,3048.0
2000,2000,-1591.4284899661716,1,-0.8853659388735073,3588.0
2500,2500,-1966.180804507035,1,1.0237914181631107,4466.0
3000,3000,-2313.658618472141,1,-1.0203274106319746,5314.0
4000,4000,-2921.556486633876,1,-1.1089667270722212,6922.0
5000,5000,-3505.309976238374,1,-0.9722461816672004,8502.0
6000,6000,-4067.8239784726234,1,-1.1700323288530752,10062.0
7000,7000,-4569.861086010855,1,-1.1770423789129387,11572.0
8000,8000,-5034.818840344798,1,1.0743235159679176,13042.0
9000,9000,-5506.334019970013,1,-0.9442904237745529,14514.0
10000,10000,-6011.179401792458,1,-1.034414252615278,16018.0
