steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-2.0,20,-2.0,2.0
40,2,-10.0,20,-8.0,4.0
60,3,-12.0,20,-2.0,6.0
80,4,-16.0,20,-4.0,6.0
100,5,-14.0,20,2.0,8.0
120,6,-20.0,20,-6.0,10.0
140,7,-24.0,20,-4.0,10.0
160,8,-22.0,20,2.0,12.0
180,9,-18.0,20,4.0,12.0
200,10,-20.0,20,-2.0,14.0
240,12,-20.0,20,2.0,16.0
280,14,-26.0,20,-6.0,18.0
340,17,-18.0,20,2.0,18.0
400,20,-28.0,20,-4.0,20.0
500,25,-32.0,20,0.0,24.0
600,30,-32.0,20,2.0,24.0
800,40,-22.0,20,-4.0,36.0
1000,50,-24.0,20,-4.0,46.0
1200,60,-24.0,20,2.0,50.0
1400,70,6.0,20,-2.0,56.0
1600,80,6.0,20,0.0,64.0
1800,90,10.0,20,4.0,72.0
2000,100,40.0,20,8.0,78.0
2400,120,54.0,20,0.0,92.0
2800,140,68.0,20,4.0,108.0
3400,170,74.0,20,4.0,138.0
4000,200,38.0,20,-8.0,170.0
5000,250,70.0,20,4.0,224.0
6000,300,56.0,20,0.0,278.0
8000,400,110.0,20,2.0,382.0
10000,500,68.0,20,-4.0,498.0
12000,600,84.0,20,4.0,616.0
14000,700,118.0,20,4.0,712.0
16000,800,148.0,20,4.0,836.0
18000,900,124.0,20,-6.0,942.0
20000,1000,110.0,20,-4.0,1060.0
24000,1200,-8.0,20,2.0,1290.0
28000,1400,34.0,20,-2.0,1496.0
34000,1700,106.0,20,0.0,1830.0
40000,2000,86.0,20,2.0,2106.0
50000,2500,102.0,20,0.0,2640.0
60000,3000,-176.0,20,-4.0,3130.0
80000,4000,-474.0,20,2.0,4324.0
100000,5000,-158.0,20,10.0,5264.0
120000,6000,-184.0,20,0.0,6280.0
140000,7000,-172.0,20,2.0,7280.0
160000,8000,-238.0,20,0.0,8248.0
180000,9000,-170.0,20,2.0,9328.0
200000,10000,-398.0,20,0.0,10330.0
