steps,episode,total_return,episode_len,episode_return,total_regret
100,1,18.0,100,18.0,0.0
200,2,24.0,100,6.0,2.0
300,3,26.0,100,2.0,4.0
400,4,18.0,100,-8.0,4.0
500,5,18.0,100,0.0,6.0
600,6,24.0,100,6.0,8.0
700,7,28.0,100,4.0,10.0
800,8,40.0,100,12.0,12.0
900,9,34.0,100,-6.0,14.0
1000,10,14.0,100,-20.0,16.0
1200,12,22.0,100,-6.0,18.0
1400,14,16.0,100,10.0,22.0
1700,17,4.0,100,-10.0,24.0
2000,20,32.0,100,10.0,26.0
2500,25,52.0,100,0.0,32.0
3000,30,98.0,100,10.0,36.0
4000,40,126.0,100,-22.0,46.0
5000,50,78.0,100,-6.0,60.0
6000,60,88.0,100,-6.0,70.0
7000,70,104.0,100,8.0,82.0
8000,80,70.0,100,-2.0,94.0
9000,90,-4.0,100,-12.0,106.0
10000,100,-32.0,100,-8.0,122.0
12000,120,-68.0,100,-2.0,146.0
14000,140,-60.0,100,18.0,164.0
17000,170,-46.0,100,4.0,198.0
20000,200,-38.0,100,2.0,222.0
25000,250,-70.0,100,4.0,270.0
30000,300,46.0,100,-4.0,326.0
40000,400,-54.0,100,10.0,426.0
50000,500,4.0,100,-14.0,528.0
60000,600,-64.0,100,-2.0,622.0
70000,700,44.0,100,-8.0,720.0
80000,800,22.0,100,2.0,814.0
90000,900,18.0,100,4.0,918.0
100000,1000,-52.0,100,6.0,1010.0
120000,1200,-256.0,100,-18.0,1208.0
140000,1400,-392.0,100,-6.0,1410.0
170000,1700,-354.0,100,0.0,1728.0
200000,2000,-328.0,100,2.0,2024.0
250000,2500,-824.0,100,0.0,2526.0
300000,3000,-856.0,100,-8.0,3078.0
400000,4000,-792.0,100,2.0,4090.0
500000,5000,-1056.0,100,-16.0,5042.0
600000,6000,-976.0,100,0.0,6044.0
700000,7000,-624.0,100,-6.0,7054.0
800000,8000,-390.0,100,4.0,7950.0
900000,9000,-764.0,100,-4.0,9036.0
1000000,10000,-928.0,100,-12.0,10052.0
