steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.30000000000000004,1,0.30000000000000004,1.7
3,3,0.8,1,0.5,2.2
4,4,1.2000000000000002,1,0.4,2.8000000000000003
5,5,1.2000000000000002,1,0.0,3.8000000000000003
6,6,1.2000000000000002,1,0.0,4.800000000000001
7,7,1.5000000000000002,1,0.30000000000000004,5.500000000000001
8,8,1.5000000000000002,1,0.0,6.500000000000001
9,9,1.9000000000000004,1,0.4,7.1000000000000005
10,10,2.2,1,0.30000000000000004,7.800000000000001
12,12,3.7,1,0.8,8.3
14,14,3.9000000000000004,1,0.1,10.100000000000001
17,17,5.1,1,0.30000000000000004,11.9
20,20,6.6,1,0.6000000000000001,13.400000000000002
25,25,9.6,1,0.8,15.4
30,30,11.700000000000001,1,0.8,18.3
40,40,17.5,1,0.9,22.5
50,50,23.7,1,0.8,26.3
60,60,31.599999999999998,1,1.0,28.400000000000002
70,70,39.49999999999999,1,0.7000000000000001,30.50000000000001
80,80,48.399999999999984,1,0.9,31.600000000000016
90,90,56.999999999999986,1,0.9,33.00000000000002
100,100,66.69999999999999,1,0.9,33.300000000000026
120,120,86.6,1,1.0,33.40000000000003
140,140,106.6,1,1.0,33.40000000000003
170,170,136.6,1,1.0,33.40000000000003
200,200,166.2,1,1.0,33.800000000000026
250,250,216.2,1,1.0,33.800000000000026
300,300,266.1,1,1.0,33.90000000000003
400,400,366.1,1,1.0,33.90000000000003
500,500,465.70000000000005,1,1.0,34.30000000000003
600,600,565.7,1,1.0,34.30000000000003
700,700,665.2,1,1.0,34.80000000000003
800,800,765.2,1,1.0,34.80000000000003
900,900,865.0,1,1.0,35.000000000000036
1000,1000,964.7,1,1.0,35.30000000000003
1200,1200,1164.7,1,1.0,35.30000000000003
1400,1400,1363.8,1,1.0,36.20000000000004
