steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.009000000000000001,1,0.009000000000000001,0.7
2,2,0.021,1,0.012,1.2999999999999998
3,3,0.030000000000000002,1,0.009000000000000001,1.9999999999999998
4,4,0.045,1,0.015,2.5
5,5,0.06,1,0.015,3.0
6,6,0.06,1,0.0,4.0
7,7,0.081,1,0.021,4.3
8,8,0.111,1,0.03,4.3
9,9,0.132,1,0.021,4.6
10,10,0.135,1,0.003,5.5
12,12,0.15900000000000003,1,0.018000000000000002,6.699999999999999
14,14,0.21000000000000002,1,0.027,6.999999999999999
17,17,0.24000000000000002,1,0.021,9.0
20,20,0.28800000000000003,1,0.015,10.399999999999999
25,25,0.3840000000000001,1,0.027,12.199999999999998
30,30,0.4470000000000002,1,0.03,15.099999999999998
40,40,0.6240000000000003,1,0.03,19.2
50,50,0.7530000000000004,1,0.027,24.9
60,60,0.8730000000000006,1,0.012,30.900000000000002
70,70,1.0050000000000006,1,0.003,36.49999999999999
80,80,1.2150000000000005,1,0.03,39.50000000000001
90,90,1.314,1,0.009000000000000001,46.20000000000001
100,100,1.4729999999999999,1,0.018000000000000002,50.900000000000006
120,120,1.7669999999999988,1,0.003,61.1
140,140,2.0819999999999985,1,0.012,70.59999999999998
170,170,2.594999999999997,1,0.015,83.49999999999999
200,200,3.1289999999999956,1,0.027,95.69999999999999
250,250,3.9779999999999935,1,0.021,117.40000000000003
300,300,4.907999999999994,1,0.03,136.40000000000003
400,400,7.121999999999998,1,0.03,162.60000000000005
500,500,9.434999999999976,1,0.024,185.4999999999998
600,600,11.978999999999925,1,0.03,200.6999999999995
700,700,14.591999999999874,1,0.024,213.59999999999923
800,800,17.342999999999897,1,0.027,221.89999999999895
900,900,20.169000000000004,1,0.03,227.6999999999987
1000,1000,23.037000000000113,1,0.03,232.0999999999986
1200,1200,28.959000000000337,1,0.03,234.69999999999854
1400,1400,34.944000000000564,1,0.03,235.1999999999985
1700,1700,43.944000000000905,1,0.03,235.1999999999985
2000,2000,52.938000000001246,1,0.03,235.3999999999985
2500,2500,67.9320000000018,1,0.03,235.5999999999985
3000,3000,82.91100000000237,1,0.03,236.29999999999848
4000,4000,112.91100000000351,1,0.03,236.29999999999848
5000,5000,142.91100000000463,1,0.03,236.29999999999848
6000,6000,172.91100000000577,1,0.03,236.29999999999848
7000,7000,202.9110000000069,1,0.03,236.29999999999848
8000,8000,232.90800000000803,1,0.03,236.39999999999847
9000,9000,262.9050000000026,1,0.03,236.49999999999847
10000,10000,292.9049999999753,1,0.03,236.49999999999847
