steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
40,1,-0.005500000000000003,40,-0.005500000000000003,1,0
80,2,-0.011500000000000008,40,-0.006000000000000004,2,0
120,3,-0.01700000000000001,40,-0.005500000000000003,3,0
160,4,-0.021250000000000015,40,-0.004250000000000002,4,0
200,5,-0.02625000000000002,40,-0.005000000000000003,5,0
240,6,-0.03150000000000002,40,-0.005250000000000003,6,0
280,7,-0.03775000000000003,40,-0.006250000000000004,7,0
320,8,-0.04200000000000003,40,-0.004250000000000002,8,0
360,9,-0.046000000000000034,40,-0.004000000000000002,9,0
400,10,-0.05150000000000004,40,-0.005500000000000003,10,0
480,12,-0.06100000000000005,40,-0.005250000000000003,12,0
560,14,-0.07100000000000005,40,-0.004250000000000002,14,0
680,17,-0.08550000000000006,40,-0.005250000000000003,17,0
800,20,-0.10000000000000007,40,-0.004000000000000002,20,0
1000,25,-0.12550000000000008,40,-0.006000000000000004,25,0
1200,30,-0.1522500000000001,40,-0.005750000000000003,30,0
1600,40,-0.19950000000000015,40,-0.005000000000000003,40,0
2000,50,-0.25125000000000003,40,-0.005500000000000003,50,0
2400,60,-0.3014999999999945,40,-0.0047500000000000025,60,0
2800,70,-0.3542499999999887,40,-0.004250000000000002,70,0
3200,80,-0.4067499999999829,40,-0.004500000000000002,80,0
3600,90,-0.4577499999999773,40,-0.004250000000000002,90,0
4000,100,-0.5087499999999717,40,-0.006000000000000004,100,0
4800,120,-0.6089999999999607,40,-0.005250000000000003,120,0
5600,140,-0.7109999999999495,40,-0.006250000000000004,140,0
6800,170,-0.8532499999999338,40,-0.005500000000000003,170,0
8000,200,-0.9987499999999178,40,-0.0037500000000000016,200,0
10000,250,-1.210749999999988,40,-0.0037500000000000016,250,0
12000,300,-1.372250000000042,40,-0.0025000000000000005,300,0
16000,400,-1.599750000000118,40,-0.0027500000000000007,400,0
20000,500,-1.7100000000001547,40,-0.0005,500,0
24000,600,-1.7777500000001774,40,-0.0005,600,0
28000,700,-1.8165000000001903,40,-0.00025,700,0
32000,800,-1.8317500000001954,40,-0.00025,800,0
36000,900,-1.848500000000201,40,-0.00025,900,0
40000,1000,-1.8775000000002107,40,-0.00025,1000,0
48000,1200,-2.2162500000001315,40,-0.00175,1200,0
56000,1400,-2.5049999999999715,40,-0.001,1400,0
68000,1700,-2.7142499999998555,40,-0.0005,1700,0
80000,2000,-2.8607499999997743,40,-0.00075,2000,0
100000,2500,-3.250749999999558,40,-0.002,2500,0
120000,3000,-3.584499999999373,40,0.0,3000,0
160000,4000,-4.318999999999533,40,0.0,4000,0
200000,5000,-5.01200000000038,40,-0.00025,5000,0
240000,6000,-5.563500000001054,40,-0.00025,6000,0
280000,7000,-6.344000000002008,40,-0.00175,7000,0
320000,8000,-6.901250000002689,40,-0.0005,8000,0
360000,9000,-7.482250000003399,40,-0.0005,9000,0
400000,10000,-8.022750000003978,40,-0.0005,10000,0
