steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.0045000000000000005,20,-0.0045000000000000005,1,0
40,2,-0.010000000000000005,20,-0.005500000000000001,2,0
60,3,-0.01450000000000001,20,-0.0045000000000000005,3,0
80,4,-0.019000000000000013,20,-0.0045000000000000005,4,0
100,5,-0.02550000000000002,20,-0.006500000000000002,4,0
120,6,-0.03250000000000002,20,-0.007000000000000003,5,0
140,7,-0.03900000000000003,20,-0.006500000000000002,6,0
160,8,-0.04450000000000003,20,-0.005500000000000001,7,0
180,9,-0.04950000000000004,20,-0.005000000000000001,8,0
200,10,-0.05400000000000004,20,-0.0045000000000000005,9,0
240,12,-0.06350000000000004,20,-0.0045000000000000005,11,0
280,14,0.9202606187531499,20,-0.005500000000000001,13,0
340,17,2.013598719626586,20,-0.0045000000000000005,16,0
400,20,1.9955987196265819,20,-0.006500000000000002,19,0
500,25,1.966598719626585,20,-0.006500000000000002,24,0
600,30,1.1391088121138062,20,-0.8069899075127814,29,0
800,40,0.3241769045721273,20,-0.006000000000000002,38,0
1000,50,1.017265748218543,20,-0.005500000000000001,47,0
1200,60,-0.7590489347940481,20,-0.005500000000000001,55,0
1400,70,0.8329607622019216,20,-0.005500000000000001,65,0
1600,80,-0.2257623727308744,20,-0.004,74,0
1800,90,1.088470153523718,20,-0.006000000000000002,83,0
2000,100,2.6209064054415747,20,-0.005000000000000001,93,0
2400,120,1.0092687431657177,20,-0.005000000000000001,112,0
2800,140,1.2042159133902004,20,-0.005500000000000001,130,0
3400,170,1.2026973249999866,20,-1.0020053946015797,158,0
4000,200,4.879321160043278,20,-0.006500000000000002,185,0
5000,250,4.432843181618782,20,0.5916191640213979,234,0
6000,300,3.0634474269016603,20,-0.005000000000000001,280,0
8000,400,-4.001549928733439,20,-0.005500000000000001,376,0
10000,500,-10.525278561395963,20,-0.006500000000000002,466,0
12000,600,-2.1891858854973565,20,-0.005500000000000001,559,0
14000,700,-8.392818550309855,20,-0.005500000000000001,648,0
16000,800,-5.860031329052084,20,-0.005000000000000001,739,0
18000,900,-8.083933878158536,20,-0.8390411313445576,832,0
20000,1000,-9.495422384231512,20,-0.005000000000000001,929,0
24000,1200,-19.37213309752522,20,-0.006000000000000002,1119,0
28000,1400,-14.27529466939579,20,-0.006000000000000002,1313,0
34000,1700,-0.7006206909165619,20,-0.006500000000000002,1599,0
40000,2000,6.126956613113341,20,-0.39701803526351137,1883,0
50000,2500,-7.455501576577827,20,-0.006000000000000002,2349,0
60000,3000,-12.326767095656905,20,-1.661603178972455,2819,0
80000,4000,-17.213676078066253,20,-0.7037448912124836,3719,0
100000,5000,-33.133483400806675,20,-0.0035,4657,0
120000,6000,-19.89275842943247,20,-0.005000000000000001,5592,0
140000,7000,-28.039432488629473,20,-0.005500000000000001,6533,0
160000,8000,-43.006824816966564,20,-2.622505276877426,7465,0
180000,9000,-58.9758585699564,20,1.8663755103140318,8343,0
200000,10000,-38.66892581941537,20,2.35864715414659,9236,0
