steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
7,1,1.0,7,1.0,1,0.0
14,2,0.0,7,-1.0,1,2.0
21,3,1.0,7,1.0,2,2.0
28,4,2.0,7,1.0,3,2.0
35,5,3.0,7,1.0,4,2.0
42,6,2.0,7,-1.0,4,4.0
49,7,3.0,7,1.0,5,4.0
56,8,4.0,7,1.0,6,4.0
63,9,5.0,7,1.0,7,4.0
70,10,6.0,7,1.0,8,4.0
84,12,6.0,7,-1.0,9,6.0
98,14,8.0,7,1.0,11,6.0
119,17,7.0,7,-1.0,12,10.0
140,20,8.0,7,1.0,14,12.0
175,25,7.0,7,1.0,16,18.0
210,30,6.0,7,-1.0,18,24.0
280,40,6.0,7,-1.0,23,34.0
350,50,6.0,7,1.0,28,44.0
420,60,-4.0,7,-1.0,28,64.0
490,70,-6.0,7,1.0,32,76.0
560,80,-4.0,7,1.0,38,84.0
630,90,-4.0,7,-1.0,43,94.0
700,100,-4.0,7,1.0,48,104.0
840,120,-4.0,7,-1.0,58,124.0
980,140,4.0,7,1.0,72,136.0
1190,170,10.0,7,1.0,90,160.0
1400,200,2.0,7,1.0,101,198.0
1750,250,4.0,7,1.0,127,246.0
2100,300,4.0,7,-1.0,152,296.0
2800,400,-8.0,7,-1.0,196,408.0
3500,500,-22.0,7,1.0,239,522.0
4200,600,-22.0,7,1.0,289,622.0
4900,700,-20.0,7,-1.0,340,720.0
5600,800,-28.0,7,-1.0,386,828.0
6300,900,-32.0,7,1.0,434,932.0
7000,1000,-54.0,7,1.0,473,1054.0
8400,1200,-50.0,7,-1.0,575,1250.0
9800,1400,-48.0,7,-1.0,676,1448.0
11900,1700,-50.0,7,1.0,825,1750.0
14000,2000,-62.0,7,1.0,969,2062.0
17500,2500,-46.0,7,1.0,1227,2546.0
21000,3000,-68.0,7,1.0,1466,3068.0
28000,4000,-60.0,7,1.0,1970,4060.0
35000,5000,-102.0,7,-1.0,2449,5102.0
42000,6000,-84.0,7,1.0,2958,6084.0
49000,7000,-96.0,7,1.0,3452,7096.0
56000,8000,-66.0,7,1.0,3967,8066.0
63000,9000,-52.0,7,-1.0,4474,9052.0
70000,10000,-72.0,7,-1.0,4964,10072.0
