steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,0.0,3,1.0,3,6.0
21,7,1.0,3,1.0,4,6.0
24,8,0.0,3,-1.0,4,8.0
27,9,1.0,3,1.0,5,8.0
30,10,2.0,3,1.0,6,8.0
36,12,0.0,3,-1.0,6,12.0
42,14,0.0,3,1.0,7,14.0
51,17,-1.0,3,-1.0,8,18.0
60,20,2.0,3,1.0,11,18.0
75,25,3.0,3,1.0,14,22.0
90,30,0.0,3,-1.0,15,30.0
120,40,-2.0,3,-1.0,19,42.0
150,50,-8.0,3,-1.0,21,58.0
180,60,-10.0,3,1.0,25,70.0
210,70,-14.0,3,1.0,28,84.0
240,80,-8.0,3,-1.0,36,88.0
270,90,-6.0,3,1.0,42,96.0
300,100,-2.0,3,1.0,49,102.0
360,120,-4.0,3,-1.0,58,124.0
420,140,-8.0,3,-1.0,66,148.0
510,170,-8.0,3,1.0,81,178.0
600,200,-12.0,3,1.0,94,212.0
750,250,-12.0,3,-1.0,119,262.0
900,300,-12.0,3,1.0,144,312.0
1200,400,12.0,3,-1.0,206,388.0
1500,500,14.0,3,1.0,257,486.0
1800,600,18.0,3,-1.0,309,582.0
2100,700,36.0,3,1.0,368,664.0
2400,800,46.0,3,1.0,423,754.0
2700,900,44.0,3,1.0,472,856.0
3000,1000,42.0,3,-1.0,521,958.0
3600,1200,22.0,3,-1.0,611,1178.0
4200,1400,-8.0,3,1.0,696,1408.0
5100,1700,-24.0,3,1.0,838,1724.0
6000,2000,-30.0,3,-1.0,985,2030.0
7500,2500,-48.0,3,-1.0,1226,2548.0
9000,3000,-30.0,3,1.0,1485,3030.0
12000,4000,36.0,3,1.0,2018,3964.0
15000,5000,60.0,3,1.0,2530,4940.0
18000,6000,136.0,3,-1.0,3068,5864.0
21000,7000,154.0,3,-1.0,3577,6846.0
24000,8000,122.0,3,1.0,4061,7878.0
27000,9000,116.0,3,-1.0,4558,8884.0
30000,10000,68.0,3,-1.0,5034,9932.0
