steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-4.0,1,1.0,10.0
7,7,-3.0,1,1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-6.0,1,1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-11.0,1,-1.0,28.0
20,20,-14.0,1,-1.0,34.0
25,25,-19.0,1,-1.0,44.0
30,30,-22.0,1,-1.0,52.0
40,40,-32.0,1,-1.0,72.0
50,50,-40.0,1,-1.0,90.0
60,60,-50.0,1,-1.0,110.0
70,70,-58.0,1,-1.0,128.0
80,80,-68.0,1,-1.0,148.0
90,90,-78.0,1,-1.0,168.0
100,100,-88.0,1,-1.0,188.0
120,120,-104.0,1,-1.0,224.0
140,140,-120.0,1,-1.0,260.0
170,170,-148.0,1,-1.0,318.0
200,200,-170.0,1,-1.0,370.0
250,250,-212.0,1,1.0,462.0
300,300,-252.0,1,-1.0,552.0
400,400,-330.0,1,-1.0,730.0
500,500,-412.0,1,-1.0,912.0
600,600,-502.0,1,-1.0,1102.0
700,700,-574.0,1,-1.0,1274.0
800,800,-656.0,1,-1.0,1456.0
900,900,-736.0,1,-1.0,1636.0
1000,1000,-824.0,1,-1.0,1824.0
1200,1200,-984.0,1,-1.0,2184.0
1400,1400,-1142.0,1,-1.0,2542.0
1700,1700,-1388.0,1,-1.0,3088.0
2000,2000,-1600.0,1,-1.0,3600.0
2500,2500,-2006.0,1,-1.0,4506.0
3000,3000,-2410.0,1,-1.0,5410.0
4000,4000,-3218.0,1,-1.0,7218.0
5000,5000,-3982.0,1,-1.0,8982.0
6000,6000,-4772.0,1,-1.0,10772.0
7000,7000,-5574.0,1,-1.0,12574.0
8000,8000,-6354.0,1,-1.0,14354.0
9000,9000,-7132.0,1,-1.0,16132.0
10000,10000,-7910.0,1,-1.0,17910.0
