steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.6030980879763674,1,-0.6030980879763674,2.0
2,2,-2.1835403457848024,1,-1.5804422578084347,4.0
3,3,-3.1615780282776296,1,-0.978037682492827,6.0
4,4,-4.4930919741881175,1,-1.331513945910488,8.0
5,5,-5.341167569990645,1,-0.8480755958025274,10.0
6,6,-4.281158527754935,1,1.0600090422357098,10.0
7,7,-5.248230676268373,1,-0.9670721485134379,12.0
8,8,-6.026043647162905,1,-0.7778129708945318,14.0
9,9,-7.007438830521367,1,-0.9813951833584617,16.0
10,10,-8.370094159138713,1,-1.3626553286173464,18.0
12,12,-9.730329691978508,1,-0.7789520344780096,22.0
14,14,-9.927031796536713,1,0.7466017290687245,24.0
17,17,-12.969954702241598,1,-1.3597678188138014,30.0
20,20,-16.073535937757583,1,-1.0933215542588608,36.0
25,25,-20.45676475562775,1,-0.6898340965687717,46.0
30,30,-21.259933350838402,1,1.2503288816834441,52.0
40,40,-30.49477093185142,1,-1.012250980411131,72.0
50,50,-37.00688611790816,1,-0.6912732105192689,88.0
60,60,-46.01887352823275,1,-1.3520432400577709,106.0
70,70,-51.96539514587138,1,-1.2767004664254962,122.0
80,80,-62.4984378170796,1,-0.9678573780367669,142.0
90,90,-71.50911589968061,1,-1.2121718252810967,160.0
100,100,-81.94690800359788,1,-1.2051215183787063,180.0
120,120,-99.70492217082857,1,-1.1195448766363856,218.0
140,140,-109.8533752672391,1,0.6220830834248492,248.0
170,170,-131.15893545326597,1,1.100078456137599,300.0
200,200,-157.2007779256249,1,-1.1572350956922504,354.0
250,250,-202.00050981749905,1,-0.6753735823556215,450.0
300,300,-241.93958844208166,1,-1.2728409156079146,542.0
400,400,-309.870370912429,1,-0.7838777954263618,712.0
500,500,-387.3756494678192,1,-0.7951696237059535,888.0
600,600,-471.9942022686849,1,-1.697741458961338,1076.0
700,700,-552.0122982996853,1,-1.2553452573438377,1260.0
800,800,-628.4499031044204,1,-1.1705569841290713,1436.0
900,900,-708.9576461447039,1,-1.23525596782732,1614.0
1000,1000,-784.1952113668243,1,-1.0721919782456313,1794.0
1200,1200,-928.215488659013,1,-1.4690342651310455,2138.0
1400,1400,-1070.6848004570047,1,-0.8669329274504842,2484.0
1700,1700,-1322.9997851041257,1,1.181836431053832,3032.0
2000,2000,-1572.8148059831542,1,0.9892682334875544,3578.0
2500,2500,-1970.1928341574026,1,-1.5418736569733704,4474.0
3000,3000,-2375.9058892964945,1,-0.9600097618140753,5370.0
4000,4000,-3192.8008290502194,1,-0.6917712796816868,7168.0
5000,5000,-3984.3539452370183,1,-1.1452479103460536,8958.0
6000,6000,-4772.693993453418,1,-1.1109761075705402,10760.0
7000,7000,-5514.530617478199,1,-1.1258933030958578,12506.0
8000,8000,-6264.322033274562,1,-1.0931537265500528,14258.0
9000,9000,-6983.777845002698,1,-0.47673335440118547,15982.0
10000,10000,-7766.8081726193295,1,-1.3170506086503404,17768.0
