steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.001,1,0.001,0.0
2,2,0.0,1,-0.001,2.0
3,3,-0.001,1,-0.001,4.0
4,4,-0.002,1,-0.001,6.0
5,5,-0.003,1,-0.001,8.0
6,6,-0.004,1,-0.001,10.0
7,7,-0.005,1,-0.001,12.0
8,8,-0.006,1,-0.001,14.0
9,9,-0.007,1,-0.001,16.0
10,10,-0.008,1,-0.001,18.0
12,12,-0.010000000000000002,1,-0.001,22.0
14,14,-0.012000000000000004,1,-0.001,26.0
17,17,-0.015000000000000006,1,-0.001,32.0
20,20,-0.016000000000000007,1,-0.001,36.0
25,25,-0.02100000000000001,1,-0.001,46.0
30,30,-0.026000000000000016,1,-0.001,56.0
40,40,-0.03200000000000002,1,-0.001,72.0
50,50,-0.04000000000000003,1,-0.001,90.0
60,60,-0.05000000000000004,1,-0.001,110.0
70,70,-0.058000000000000045,1,0.001,128.0
80,80,-0.06200000000000005,1,-0.001,142.0
90,90,-0.07000000000000005,1,-0.001,160.0
100,100,-0.07800000000000006,1,-0.001,178.0
120,120,-0.09000000000000007,1,0.001,210.0
140,140,-0.10600000000000008,1,-0.001,246.0
170,170,-0.1340000000000001,1,-0.001,304.0
200,200,-0.1560000000000001,1,-0.001,356.0
250,250,-0.19200000000000014,1,-0.001,442.0
300,300,-0.23200000000000018,1,-0.001,532.0
400,400,-0.3160000000000002,1,-0.001,716.0
500,500,-0.4020000000000003,1,-0.001,902.0
600,600,-0.47600000000000037,1,-0.001,1076.0
700,700,-0.5680000000000004,1,-0.001,1268.0
800,800,-0.6500000000000005,1,-0.001,1450.0
900,900,-0.7360000000000005,1,-0.001,1636.0
1000,1000,-0.8200000000000006,1,-0.001,1820.0
1200,1200,-0.9800000000000008,1,-0.001,2180.0
1400,1400,-1.1559999999999835,1,-0.001,2556.0
1700,1700,-1.3819999999999586,1,0.001,3082.0
2000,2000,-1.6099999999999335,1,0.001,3610.0
2500,2500,-1.995999999999891,1,-0.001,4496.0
3000,3000,-2.397999999999847,1,-0.001,5398.0
4000,4000,-3.1939999999997593,1,-0.001,7194.0
5000,5000,-3.9719999999996736,1,-0.001,8972.0
6000,6000,-4.77599999999993,1,-0.001,10776.0
7000,7000,-5.55600000000019,1,-0.001,12556.0
8000,8000,-6.362000000000459,1,-0.001,14362.0
9000,9000,-7.160000000000726,1,-0.001,16160.0
10000,10000,-7.978000000000999,1,-0.001,17978.0
