steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-2.0,20,-2.0,0.0
40,2,-4.0,20,-2.0,2.0
60,3,2.0,20,6.0,2.0
80,4,4.0,20,2.0,4.0
100,5,2.0,20,-2.0,6.0
120,6,2.0,20,0.0,6.0
140,7,0.0,20,-2.0,8.0
160,8,-2.0,20,-2.0,8.0
180,9,4.0,20,6.0,8.0
200,10,-2.0,20,-6.0,8.0
240,12,4.0,20,2.0,10.0
280,14,6.0,20,2.0,14.0
340,17,0.0,20,-4.0,18.0
400,20,-2.0,20,0.0,22.0
500,25,-6.0,20,-2.0,26.0
600,30,-14.0,20,0.0,34.0
800,40,8.0,20,6.0,44.0
1000,50,6.0,20,2.0,58.0
1200,60,8.0,20,4.0,70.0
1400,70,30.0,20,4.0,74.0
1600,80,14.0,20,-2.0,88.0
1800,90,4.0,20,-2.0,102.0
2000,100,-12.0,20,2.0,118.0
2400,120,-40.0,20,-4.0,136.0
2800,140,-22.0,20,0.0,156.0
3400,170,-36.0,20,4.0,184.0
4000,200,-30.0,20,2.0,202.0
5000,250,-34.0,20,8.0,250.0
6000,300,-98.0,20,-2.0,310.0
8000,400,-164.0,20,0.0,402.0
10000,500,-110.0,20,6.0,492.0
12000,600,-10.0,20,-2.0,568.0
14000,700,16.0,20,6.0,656.0
16000,800,16.0,20,-8.0,746.0
18000,900,-104.0,20,2.0,816.0
20000,1000,-42.0,20,-2.0,874.0
24000,1200,170.0,20,4.0,974.0
28000,1400,250.0,20,4.0,1078.0
34000,1700,444.0,20,4.0,1208.0
40000,2000,570.0,20,2.0,1326.0
50000,2500,1000.0,20,2.0,1504.0
60000,3000,1500.0,20,0.0,1606.0
80000,4000,2452.0,20,10.0,1818.0
100000,5000,3464.0,20,-10.0,1966.0
120000,6000,4470.0,20,-2.0,2060.0
140000,7000,5368.0,20,2.0,2118.0
160000,8000,6190.0,20,-2.0,2196.0
180000,9000,7192.0,20,2.0,2246.0
200000,10000,8076.0,20,0.0,2332.0
