steps,episode,total_return,episode_len,episode_return,total_regret
100,1,-16.0,100,-16.0,2.0
200,2,-20.0,100,-4.0,4.0
300,3,-14.0,100,6.0,4.0
400,4,-8.0,100,6.0,4.0
500,5,-6.0,100,2.0,4.0
600,6,-2.0,100,4.0,6.0
700,7,4.0,100,6.0,8.0
800,8,8.0,100,4.0,10.0
900,9,12.0,100,4.0,12.0
1000,10,22.0,100,10.0,14.0
1200,12,36.0,100,0.0,18.0
1400,14,10.0,100,-10.0,22.0
1700,17,-2.0,100,6.0,26.0
2000,20,0.0,100,-4.0,30.0
2500,25,-2.0,100,-10.0,34.0
3000,30,76.0,100,12.0,38.0
4000,40,98.0,100,6.0,56.0
5000,50,92.0,100,6.0,66.0
6000,60,88.0,100,-14.0,76.0
7000,70,34.0,100,6.0,80.0
8000,80,20.0,100,4.0,86.0
9000,90,-10.0,100,14.0,94.0
10000,100,-10.0,100,10.0,108.0
12000,120,4.0,100,-4.0,124.0
14000,140,28.0,100,-14.0,150.0
17000,170,54.0,100,0.0,182.0
20000,200,-44.0,100,-2.0,224.0
25000,250,-136.0,100,0.0,280.0
30000,300,-190.0,100,-6.0,334.0
40000,400,-204.0,100,16.0,446.0
50000,500,-366.0,100,-4.0,568.0
60000,600,-342.0,100,2.0,702.0
70000,700,-456.0,100,6.0,826.0
80000,800,-598.0,100,-6.0,950.0
90000,900,-558.0,100,6.0,1060.0
100000,1000,-674.0,100,-2.0,1182.0
120000,1200,-1012.0,100,0.0,1400.0
140000,1400,-1212.0,100,-20.0,1630.0
170000,1700,-1286.0,100,-2.0,1922.0
200000,2000,-1088.0,100,12.0,2164.0
250000,2500,-832.0,100,-2.0,2566.0
300000,3000,-608.0,100,6.0,3032.0
400000,4000,-586.0,100,2.0,4016.0
500000,5000,126.0,100,4.0,4972.0
600000,6000,144.0,100,-20.0,6022.0
700000,7000,92.0,100,-6.0,6994.0
800000,8000,-362.0,100,-12.0,7942.0
900000,9000,-604.0,100,0.0,8904.0
1000000,10000,-704.0,100,4.0,9902.0
