steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.8,1,0.8,0.19999999999999996
2,2,0.8,1,0.0,1.2
3,3,0.8,1,0.0,2.2
4,4,1.7000000000000002,1,0.9,2.3000000000000003
5,5,1.7000000000000002,1,0.0,3.3000000000000003
6,6,2.1,1,0.4,3.9000000000000004
7,7,2.8000000000000003,1,0.7000000000000001,4.2
8,8,3.5000000000000004,1,0.7000000000000001,4.5
9,9,4.2,1,0.7000000000000001,4.8
10,10,5.1000000000000005,1,0.9,4.8999999999999995
12,12,6.300000000000001,1,0.2,5.699999999999999
14,14,7.2,1,0.1,6.8
17,17,7.8,1,0.2,9.200000000000001
20,20,10.2,1,1.0,9.800000000000002
25,25,13.399999999999999,1,0.7000000000000001,11.600000000000003
30,30,16.9,1,1.0,13.100000000000003
40,40,20.8,1,0.7000000000000001,19.200000000000003
50,50,25.6,1,0.30000000000000004,24.400000000000002
60,60,31.499999999999996,1,0.7000000000000001,28.500000000000007
70,70,38.19999999999999,1,1.0,31.80000000000001
80,80,41.5,1,0.2,38.5
90,90,45.300000000000004,1,0.7000000000000001,44.699999999999996
100,100,50.9,1,0.0,49.1
120,120,58.30000000000001,1,0.7000000000000001,61.69999999999999
140,140,69.4,1,0.8,70.59999999999998
170,170,88.00000000000001,1,1.0,81.99999999999997
200,200,105.20000000000003,1,1.0,94.79999999999995
250,250,135.40000000000006,1,0.5,114.59999999999992
300,300,167.9,1,1.0,132.09999999999994
400,400,236.90000000000012,1,0.8,163.09999999999982
500,500,315.2,1,0.8,184.7999999999996
600,600,396.7999999999995,1,0.8,203.19999999999942
700,700,482.09999999999894,1,0.9,217.89999999999912
800,800,571.6999999999982,1,1.0,228.299999999999
900,900,666.0999999999971,1,0.9,233.8999999999987
1000,1000,762.9999999999966,1,1.0,236.99999999999858
1200,1200,959.099999999996,1,1.0,240.89999999999844
1400,1400,1158.299999999996,1,1.0,241.69999999999843
1700,1700,1457.9999999999961,1,1.0,241.9999999999984
2000,2000,1757.9999999999961,1,1.0,241.9999999999984
2500,2500,2257.799999999996,1,1.0,242.1999999999984
3000,3000,2757.799999999996,1,1.0,242.1999999999984
4000,4000,3757.399999999996,1,1.0,242.5999999999984
5000,5000,4757.099999999995,1,1.0,242.89999999999839
6000,6000,5756.899999999995,1,1.0,243.09999999999837
7000,7000,6756.899999999995,1,1.0,243.09999999999837
8000,8000,7756.899999999995,1,1.0,243.09999999999837
9000,9000,8756.899999999994,1,1.0,243.09999999999837
10000,10000,9756.899999999994,1,1.0,243.09999999999837
