steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.005333333333333333,30,-0.005333333333333333,1,0
60,2,-0.00933333333333333,30,-0.004000000000000001,2,0
90,3,-0.014333333333333326,30,-0.005,3,0
120,4,-0.02000000000000001,30,-0.005666666666666666,4,0
150,5,-0.026666666666666707,30,-0.006666666666666665,5,0
180,6,-0.032000000000000056,30,-0.005333333333333333,6,0
210,7,-0.03733333333333336,30,-0.005333333333333333,7,0
240,8,-0.04233333333333333,30,-0.005,8,0
270,9,-0.04799999999999996,30,-0.005666666666666666,9,0
300,10,-0.051999999999999935,30,-0.004000000000000001,10,0
360,12,-0.06366666666666655,30,-0.005333333333333333,12,0
420,14,-0.07400000000000004,30,-0.005,14,0
510,17,-0.08833333333333358,30,-0.005,17,0
600,20,-0.10600000000000051,30,-0.006999999999999998,20,0
750,25,-0.12866666666666735,30,-0.004333333333333334,25,0
900,30,-0.15166666666666673,30,-0.004666666666666667,30,0
1200,40,-0.19799999999999882,30,-0.0036666666666666675,40,0
1500,50,-0.24599999999999753,30,-0.0036666666666666675,50,0
1800,60,-0.296,30,-0.005666666666666666,60,0
2100,70,-0.3370000000000023,30,-0.005,70,0
2400,80,-0.3780000000000046,30,-0.004000000000000001,80,0
2700,90,-0.42166666666667374,30,-0.0036666666666666675,90,0
3000,100,-0.4630000000000094,30,-0.0036666666666666675,100,0
3600,120,-0.5356666666666742,30,-0.002666666666666667,120,0
4200,140,-0.5980000000000006,30,-0.004000000000000001,140,0
5100,170,-0.66466666666666,30,-0.0016666666666666666,170,0
6000,200,-0.7059999999999887,30,-0.001,200,0
7500,250,-0.7466666666666509,30,-0.0006666666666666666,250,0
9000,300,-0.7816666666666471,30,-0.0006666666666666666,300,0
12000,400,-0.8513333333333061,30,-0.0006666666666666666,400,0
15000,500,-0.9196666666666319,30,-0.0006666666666666666,500,0
18000,600,-0.9896666666666242,30,-0.0006666666666666666,600,0
21000,700,-1.0649999999999493,30,-0.0006666666666666666,700,0
24000,800,-1.1336666666666084,30,-0.0006666666666666666,800,0
27000,900,-1.2023333333332675,30,-0.0006666666666666666,900,0
30000,1000,-1.2709999999999266,30,-0.0006666666666666666,1000,0
36000,1200,-1.4056666666665785,30,-0.0006666666666666666,1200,0
42000,1400,-1.5389999999998971,30,-0.0006666666666666666,1400,0
51000,1700,-1.742333333333208,30,-0.0006666666666666666,1700,0
60000,2000,-1.9463333333331856,30,-0.0006666666666666666,2000,0
75000,2500,-2.280333333333149,30,-0.0006666666666666666,2500,0
90000,3000,-2.6419999999997756,30,-0.0006666666666666666,3000,0
120000,4000,-3.1026666666663916,30,-0.0003333333333333333,4000,0
150000,5000,-3.442333333333021,30,-0.0003333333333333333,5000,0
180000,6000,-3.8373333333329773,30,-0.0003333333333333333,6000,0
210000,7000,-4.17233333333317,30,-0.0003333333333333333,7000,0
240000,8000,-4.505666666666911,30,-0.0003333333333333333,8000,0
270000,9000,-4.8390000000006514,30,-0.0003333333333333333,9000,0
300000,10000,-5.213333333334442,30,-0.0003333333333333333,10000,0
