steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.005666666666666666,30,-0.005666666666666666,1,0
60,2,-0.010999999999999996,30,-0.005333333333333333,2,0
90,3,-0.016999999999999998,30,-0.005999999999999999,3,0
120,4,0.08559167985505312,30,0.10259167985505313,4,0
150,5,0.07925834652171969,30,-0.006333333333333332,5,0
180,6,0.07492501318838629,30,-0.004333333333333334,6,0
210,7,0.0689250131883862,30,-0.005999999999999999,7,0
240,8,0.0645916798550528,30,-0.004333333333333334,8,0
270,9,0.059925013188386125,30,-0.004666666666666667,9,0
300,10,0.05392501318838616,30,-0.005999999999999999,10,0
360,12,0.04525834652171955,30,-0.005333333333333333,12,0
420,14,0.03592501318838627,30,-0.005,14,0
510,17,0.01925834652171958,30,-0.004666666666666667,17,0
600,20,0.0022583465217195747,30,-0.005333333333333333,20,0
750,25,-0.08189841936813425,30,-0.005,25,0
900,30,-2.275534312835865,30,-2.173969226801064,30,0
1200,40,-2.0004512842422835,30,0.4666104193601406,38,0
1500,50,-2.0878811586624626,30,-0.0036666666666666675,47,0
1800,60,-0.1390377992493596,30,0.44519975515443855,57,0
2100,70,6.021109083529071,30,1.041107838229006,67,0
2400,80,4.817309144432926,30,-0.005666666666666666,76,0
2700,90,4.778894511429107,30,2.1890535249693115,85,0
3000,100,2.3212330421543865,30,-0.3715143685405539,94,0
3600,120,3.659212539072736,30,-1.5244366238589884,112,0
4200,140,4.271205764763877,30,-0.5971008764171628,127,0
5100,170,-4.681614771035572,30,-0.005666666666666666,154,0
6000,200,-8.562132991714677,30,-0.005,175,0
7500,250,-10.840785615558929,30,-0.005999999999999999,222,0
9000,300,-12.115738163104432,30,-0.004333333333333334,265,0
12000,400,-12.663404829771768,30,-0.005999999999999999,347,0
15000,500,-13.188738163105743,30,-0.005333333333333333,435,0
18000,600,-13.67673816310634,30,-0.0036666666666666675,531,0
21000,700,-13.158588572901973,30,-0.004333333333333334,625,0
24000,800,-15.302853112410697,30,-0.004333333333333334,723,0
27000,900,-15.694519779077842,30,-0.0030000000000000005,820,0
30000,1000,-16.482434678807895,30,-0.0016666666666666666,920,0
36000,1200,-21.938956602659403,30,-0.0016666666666666666,1115,0
42000,1400,-22.260733480098637,30,-0.002666666666666667,1313,0
51000,1700,-21.982780465238907,30,-0.0013333333333333333,1611,0
60000,2000,1.030411168661187,30,0.2564942237579693,1911,0
75000,2500,5.64474888553849,30,1.098087004048624,2411,0
90000,3000,24.45420787249076,30,1.1643965619473156,2911,0
120000,4000,48.24991312447733,30,-0.038068297075356236,3910,0
150000,5000,26.344077936558048,30,-0.10164528903961567,4910,0
180000,6000,77.07861526751226,30,-0.005,5910,0
210000,7000,67.71638731526886,30,-0.0023333333333333335,6909,0
240000,8000,64.53932599750408,30,1.4329014505740976,7907,0
270000,9000,59.992324593729926,30,-0.004666666666666667,8784,0
300000,10000,60.201540968213216,30,-0.005,9747,0
