steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.9341364323254064,1,-0.9341364323254064,2.0
2,2,-1.6143833877318963,1,-0.6802469554064898,4.0
3,3,-2.8112659282961623,1,-1.1968825405642658,6.0
4,4,-3.7302466108270695,1,-0.9189806825309073,8.0
5,5,-4.5071974997006405,1,-0.7769508888735707,10.0
6,6,-5.763006632413038,1,-1.2558091327123977,12.0
7,7,-5.335839543634951,1,0.42716708877808673,12.0
8,8,-6.608633132275921,1,-1.2727935886409698,14.0
9,9,-7.422929256980127,1,-0.8142961247042056,16.0
10,10,-8.4748615949045,1,-1.0519323379243724,18.0
12,12,-11.012326874906842,1,-1.3866752832868978,22.0
14,14,-12.609364201417609,1,-0.6321559905686753,26.0
17,17,-15.885048497586176,1,-1.5443051513470576,32.0
20,20,-18.60100786187655,1,-1.4553231186130111,38.0
25,25,-22.99970350536235,1,-0.6552743547657705,48.0
30,30,-26.447598028971807,1,-1.355463369832998,58.0
40,40,-34.7272186855715,1,-0.9024618757117047,78.0
50,50,-41.61405607807264,1,-0.9930593166231788,96.0
60,60,-47.77165502223892,1,-1.3369743652480384,112.0
70,70,-50.94702647059984,1,-1.2454516656908952,126.0
80,80,-57.961783322255464,1,-0.966092377514946,144.0
90,90,-69.16410660312629,1,-1.0985922539038502,164.0
100,100,-74.25090455445688,1,-0.6808005931379435,180.0
120,120,-87.07510547388895,1,-0.7885168803303557,214.0
140,140,-107.8801480155155,1,-0.9999551788849305,254.0
170,170,-133.5543327216013,1,-0.8294515245982812,310.0
200,200,-152.33745375830998,1,1.3152203526250879,362.0
250,250,-190.02019082232434,1,-1.2009403663559566,446.0
300,300,-230.76845419596057,1,-0.7779943822541859,536.0
400,400,-312.20265896656343,1,-0.5886160453093039,716.0
500,500,-388.0466945314695,1,-1.0940929358002993,892.0
600,600,-473.9338701756725,1,-1.0183430618417277,1078.0
700,700,-552.1665939947428,1,0.8070171838996247,1256.0
800,800,-639.7905578443441,1,-0.8262660861657749,1440.0
900,900,-717.9367298582487,1,-0.7368979163456846,1616.0
1000,1000,-796.949174672022,1,-1.211119257870214,1792.0
1200,1200,-967.468498121748,1,-0.6111497850771533,2164.0
1400,1400,-1136.2506823998526,1,-1.157996176662829,2534.0
1700,1700,-1353.6322328702042,1,1.7696226434605653,3044.0
2000,2000,-1587.7989696100237,1,-0.5245209978948717,3578.0
2500,2500,-1979.2337846518433,1,-0.8984772527315033,4478.0
3000,3000,-2345.828095255171,1,0.062366886854543946,5352.0
4000,4000,-3087.8126582100194,1,0.8094573267875342,7088.0
5000,5000,-3756.988782924301,1,-1.0823956912794848,8772.0
6000,6000,-4429.499430371323,1,-0.9926218973891404,10442.0
7000,7000,-5106.448224133701,1,-0.6287638720974835,12138.0
8000,8000,-5801.280806660364,1,-1.043282175266694,13818.0
9000,9000,-6473.484729646991,1,-1.0507558928670238,15488.0
10000,10000,-7105.031570401406,1,-0.6214414692187034,17128.0
