steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,0.6,1,0.1,1.4
3,3,1.0,1,0.4,2.0
4,4,1.8,1,0.8,2.2
5,5,2.3,1,0.5,2.7
6,6,3.0,1,0.7000000000000001,3.0
7,7,3.5,1,0.5,3.5
8,8,4.2,1,0.7000000000000001,3.8
9,9,5.2,1,1.0,3.8
10,10,6.2,1,1.0,3.8
12,12,7.5,1,1.0,4.5
14,14,9.0,1,0.9,5.0
17,17,9.3,1,0.0,7.7
20,20,10.200000000000001,1,0.0,9.799999999999999
25,25,13.000000000000002,1,0.7000000000000001,11.999999999999998
30,30,15.6,1,0.7000000000000001,14.4
40,40,19.5,1,0.2,20.5
50,50,24.7,1,0.7000000000000001,25.3
60,60,29.700000000000003,1,0.6000000000000001,30.299999999999997
70,70,32.80000000000001,1,0.2,37.199999999999996
80,80,39.100000000000016,1,0.9,40.89999999999999
90,90,44.70000000000002,1,0.1,45.29999999999999
100,100,49.10000000000002,1,0.30000000000000004,50.899999999999984
120,120,58.50000000000003,1,0.2,61.49999999999998
140,140,72.20000000000003,1,0.7000000000000001,67.79999999999998
170,170,86.40000000000003,1,0.1,83.59999999999998
200,200,104.20000000000003,1,0.5,95.79999999999998
250,250,134.00000000000006,1,0.0,116.0
300,300,168.10000000000008,1,0.7000000000000001,131.9
400,400,237.00000000000009,1,0.9,163.0
500,500,313.99999999999966,1,0.8,185.99999999999991
600,600,399.19999999999925,1,1.0,200.7999999999996
700,700,486.39999999999867,1,1.0,213.59999999999937
800,800,578.0999999999979,1,1.0,221.8999999999991
900,900,672.5999999999971,1,1.0,227.3999999999989
1000,1000,768.8999999999967,1,1.0,231.0999999999988
1200,1200,966.8999999999966,1,1.0,233.09999999999877
1400,1400,1166.7999999999965,1,1.0,233.19999999999877
1700,1700,1465.8999999999967,1,1.0,234.09999999999874
2000,2000,1765.2999999999968,1,1.0,234.69999999999874
2500,2500,2265.2999999999965,1,1.0,234.69999999999874
3000,3000,2765.2999999999965,1,1.0,234.69999999999874
4000,4000,3764.2999999999965,1,1.0,235.69999999999874
5000,5000,4764.2999999999965,1,1.0,235.69999999999874
6000,6000,5763.999999999996,1,1.0,235.99999999999872
7000,7000,6763.999999999996,1,1.0,235.99999999999872
8000,8000,7763.899999999996,1,1.0,236.09999999999872
9000,9000,8763.899999999996,1,1.0,236.09999999999872
10000,10000,9763.699999999995,1,1.0,236.2999999999987
