steps,episode,total_return,episode_len,episode_return,total_regret
40,1,-2.0,40,-2.0,0.0
80,2,4.0,40,6.0,0.0
120,3,8.0,40,4.0,2.0
160,4,14.0,40,6.0,2.0
200,5,8.0,40,-6.0,2.0
240,6,0.0,40,-8.0,4.0
280,7,-2.0,40,-2.0,4.0
320,8,0.0,40,2.0,4.0
360,9,-10.0,40,-10.0,4.0
400,10,-22.0,40,-12.0,6.0
480,12,-12.0,40,2.0,10.0
560,14,-14.0,40,2.0,12.0
680,17,0.0,40,12.0,18.0
800,20,2.0,40,4.0,22.0
1000,25,-6.0,40,-6.0,30.0
1200,30,10.0,40,12.0,36.0
1600,40,6.0,40,-4.0,44.0
2000,50,12.0,40,14.0,56.0
2400,60,20.0,40,6.0,68.0
2800,70,58.0,40,8.0,80.0
3200,80,72.0,40,-2.0,86.0
3600,90,46.0,40,-2.0,100.0
4000,100,72.0,40,-4.0,112.0
4800,120,26.0,40,-6.0,132.0
5600,140,-24.0,40,-10.0,150.0
6800,170,-52.0,40,0.0,182.0
8000,200,-76.0,40,-8.0,208.0
10000,250,-64.0,40,-2.0,242.0
12000,300,-80.0,40,-2.0,292.0
16000,400,-156.0,40,-6.0,404.0
20000,500,-188.0,40,6.0,524.0
24000,600,-124.0,40,2.0,644.0
28000,700,-128.0,40,6.0,742.0
32000,800,-170.0,40,-4.0,854.0
36000,900,-204.0,40,0.0,956.0
40000,1000,-172.0,40,4.0,1084.0
48000,1200,-94.0,40,6.0,1276.0
56000,1400,-154.0,40,-4.0,1502.0
68000,1700,-108.0,40,2.0,1812.0
80000,2000,-170.0,40,0.0,2114.0
100000,2500,-338.0,40,-2.0,2580.0
120000,3000,-216.0,40,4.0,3070.0
160000,4000,-162.0,40,6.0,4088.0
200000,5000,-418.0,40,-6.0,5076.0
240000,6000,-352.0,40,-4.0,6094.0
280000,7000,-268.0,40,-2.0,7068.0
320000,8000,-430.0,40,-12.0,8004.0
360000,9000,-446.0,40,-6.0,8878.0
400000,10000,-242.0,40,-8.0,9698.0
