steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
7,1,1.0,7,1.0,1,0.0
14,2,2.0,7,1.0,2,0.0
21,3,1.0,7,-1.0,2,2.0
28,4,0.0,7,-1.0,2,4.0
35,5,1.0,7,1.0,3,4.0
42,6,0.0,7,-1.0,3,6.0
49,7,1.0,7,1.0,4,6.0
56,8,0.0,7,-1.0,4,8.0
63,9,1.0,7,1.0,5,8.0
70,10,2.0,7,1.0,6,8.0
84,12,2.0,7,1.0,7,10.0
98,14,2.0,7,1.0,8,12.0
119,17,5.0,7,1.0,11,12.0
140,20,4.0,7,-1.0,12,16.0
175,25,7.0,7,1.0,16,18.0
210,30,8.0,7,1.0,19,22.0
280,40,8.0,7,1.0,24,32.0
350,50,8.0,7,-1.0,29,42.0
420,60,10.0,7,-1.0,35,50.0
490,70,8.0,7,1.0,39,62.0
560,80,6.0,7,1.0,43,74.0
630,90,10.0,7,1.0,50,80.0
700,100,10.0,7,1.0,55,90.0
840,120,2.0,7,-1.0,61,118.0
980,140,-2.0,7,1.0,69,142.0
1190,170,2.0,7,-1.0,86,168.0
1400,200,2.0,7,1.0,101,198.0
1750,250,-6.0,7,-1.0,122,256.0
2100,300,-4.0,7,1.0,148,304.0
2800,400,12.0,7,-1.0,206,388.0
3500,500,14.0,7,-1.0,257,486.0
4200,600,16.0,7,1.0,308,584.0
4900,700,24.0,7,1.0,362,676.0
5600,800,16.0,7,1.0,408,784.0
6300,900,8.0,7,-1.0,454,892.0
7000,1000,22.0,7,-1.0,511,978.0
8400,1200,26.0,7,1.0,613,1174.0
9800,1400,40.0,7,-1.0,720,1360.0
11900,1700,62.0,7,1.0,881,1638.0
14000,2000,60.0,7,-1.0,1030,1940.0
17500,2500,38.0,7,1.0,1269,2462.0
21000,3000,-20.0,7,-1.0,1490,3020.0
28000,4000,-30.0,7,1.0,1985,4030.0
35000,5000,42.0,7,-1.0,2521,4958.0
42000,6000,-38.0,7,-1.0,2981,6038.0
49000,7000,-86.0,7,1.0,3457,7086.0
56000,8000,-128.0,7,-1.0,3936,8128.0
63000,9000,-138.0,7,-1.0,4431,9138.0
70000,10000,-162.0,7,1.0,4919,10162.0
