steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,0.0,3,-1.0,2,4.0
15,5,1.0,3,1.0,3,4.0
18,6,2.0,3,1.0,4,4.0
21,7,1.0,3,-1.0,4,6.0
24,8,2.0,3,1.0,5,6.0
27,9,1.0,3,-1.0,5,8.0
30,10,0.0,3,-1.0,5,10.0
36,12,-2.0,3,-1.0,5,14.0
42,14,-2.0,3,-1.0,6,16.0
51,17,-1.0,3,-1.0,8,18.0
60,20,-2.0,3,1.0,9,22.0
75,25,1.0,3,1.0,13,24.0
90,30,2.0,3,-1.0,16,28.0
120,40,4.0,3,1.0,22,36.0
150,50,10.0,3,1.0,30,40.0
180,60,12.0,3,-1.0,36,48.0
210,70,10.0,3,-1.0,40,60.0
240,80,16.0,3,-1.0,48,64.0
270,90,18.0,3,1.0,54,72.0
300,100,20.0,3,1.0,60,80.0
360,120,16.0,3,-1.0,68,104.0
420,140,18.0,3,1.0,79,122.0
510,170,12.0,3,-1.0,91,158.0
600,200,16.0,3,-1.0,108,184.0
750,250,26.0,3,1.0,138,224.0
900,300,34.0,3,1.0,167,266.0
1200,400,46.0,3,-1.0,223,354.0
1500,500,50.0,3,-1.0,275,450.0
1800,600,42.0,3,-1.0,321,558.0
2100,700,42.0,3,-1.0,371,658.0
2400,800,42.0,3,1.0,421,758.0
2700,900,30.0,3,1.0,465,870.0
3000,1000,14.0,3,-1.0,507,986.0
3600,1200,28.0,3,1.0,614,1172.0
4200,1400,38.0,3,1.0,719,1362.0
5100,1700,38.0,3,1.0,869,1662.0
6000,2000,38.0,3,1.0,1019,1962.0
7500,2500,56.0,3,1.0,1278,2444.0
9000,3000,78.0,3,-1.0,1539,2922.0
12000,4000,110.0,3,1.0,2055,3890.0
15000,5000,110.0,3,1.0,2555,4890.0
18000,6000,108.0,3,-1.0,3054,5892.0
21000,7000,72.0,3,1.0,3536,6928.0
24000,8000,26.0,3,-1.0,4013,7974.0
27000,9000,36.0,3,-1.0,4518,8964.0
30000,10000,72.0,3,-1.0,5036,9928.0
