steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-2.0,1,1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-3.0,1,1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-13.0,1,-1.0,30.0
20,20,-14.0,1,1.0,34.0
25,25,-19.0,1,-1.0,44.0
30,30,-24.0,1,-1.0,54.0
40,40,-34.0,1,-1.0,74.0
50,50,-40.0,1,-1.0,90.0
60,60,-50.0,1,-1.0,110.0
70,70,-58.0,1,-1.0,128.0
80,80,-68.0,1,-1.0,148.0
90,90,-74.0,1,-1.0,164.0
100,100,-82.0,1,-1.0,182.0
120,120,-98.0,1,1.0,218.0
140,140,-110.0,1,-1.0,250.0
170,170,-132.0,1,-1.0,302.0
200,200,-156.0,1,-1.0,356.0
250,250,-194.0,1,-1.0,444.0
300,300,-238.0,1,-1.0,538.0
400,400,-304.0,1,-1.0,704.0
500,500,-390.0,1,-1.0,890.0
600,600,-472.0,1,-1.0,1072.0
700,700,-550.0,1,-1.0,1250.0
800,800,-620.0,1,-1.0,1420.0
900,900,-688.0,1,-1.0,1588.0
1000,1000,-766.0,1,-1.0,1766.0
1200,1200,-916.0,1,-1.0,2116.0
1400,1400,-1080.0,1,-1.0,2480.0
1700,1700,-1324.0,1,-1.0,3024.0
2000,2000,-1560.0,1,-1.0,3560.0
2500,2500,-1946.0,1,-1.0,4446.0
3000,3000,-2310.0,1,-1.0,5310.0
4000,4000,-3072.0,1,-1.0,7072.0
5000,5000,-3774.0,1,-1.0,8774.0
6000,6000,-4496.0,1,-1.0,10496.0
7000,7000,-5198.0,1,-1.0,12198.0
8000,8000,-5864.0,1,-1.0,13864.0
9000,9000,-6554.0,1,1.0,15554.0
10000,10000,-7206.0,1,-1.0,17206.0
