steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.001,1,-0.001,2.0
2,2,-0.002,1,-0.001,4.0
3,3,-0.003,1,-0.001,6.0
4,4,-0.004,1,-0.001,8.0
5,5,-0.005,1,-0.001,10.0
6,6,-0.006,1,-0.001,12.0
7,7,-0.007,1,-0.001,14.0
8,8,-0.006,1,0.001,14.0
9,9,-0.007,1,-0.001,16.0
10,10,-0.008,1,-0.001,18.0
12,12,-0.008,1,0.001,20.0
14,14,-0.010000000000000002,1,-0.001,24.0
17,17,-0.011000000000000003,1,-0.001,28.0
20,20,-0.014000000000000005,1,-0.001,34.0
25,25,-0.01900000000000001,1,-0.001,44.0
30,30,-0.024000000000000014,1,-0.001,54.0
40,40,-0.03400000000000002,1,-0.001,74.0
50,50,-0.04200000000000003,1,-0.001,92.0
60,60,-0.05000000000000004,1,-0.001,110.0
70,70,-0.060000000000000046,1,-0.001,130.0
80,80,-0.06800000000000005,1,-0.001,148.0
90,90,-0.07800000000000006,1,-0.001,168.0
100,100,-0.08600000000000006,1,-0.001,186.0
120,120,-0.10000000000000007,1,-0.001,220.0
140,140,-0.12000000000000009,1,-0.001,260.0
170,170,-0.1440000000000001,1,-0.001,314.0
200,200,-0.17200000000000013,1,-0.001,372.0
250,250,-0.20200000000000015,1,-0.001,452.0
300,300,-0.23400000000000018,1,0.001,534.0
400,400,-0.3120000000000002,1,-0.001,712.0
500,500,-0.3960000000000003,1,-0.001,896.0
600,600,-0.4880000000000004,1,-0.001,1088.0
700,700,-0.5740000000000004,1,-0.001,1274.0
800,800,-0.6520000000000005,1,-0.001,1452.0
900,900,-0.7420000000000005,1,-0.001,1642.0
1000,1000,-0.8280000000000006,1,-0.001,1828.0
1200,1200,-0.9900000000000008,1,-0.001,2190.0
1400,1400,-1.1539999999999837,1,-0.001,2554.0
1700,1700,-1.4019999999999564,1,-0.001,3102.0
2000,2000,-1.6479999999999293,1,-0.001,3648.0
2500,2500,-2.0379999999998866,1,-0.001,4538.0
3000,3000,-2.443999999999842,1,-0.001,5444.0
4000,4000,-3.2199999999997564,1,-0.001,7220.0
5000,5000,-4.0479999999996865,1,-0.001,9048.0
6000,6000,-4.801999999999938,1,-0.001,10802.0
7000,7000,-5.592000000000202,1,-0.001,12592.0
8000,8000,-6.376000000000464,1,-0.001,14376.0
9000,9000,-7.1500000000007224,1,-0.001,16150.0
10000,10000,-7.95200000000099,1,-0.001,17952.0
