steps,episode,total_return,episode_len,episode_return,total_regret
20,1,0.0,20,0.0,0.0
40,2,-2.0,20,-2.0,0.0
60,3,-4.0,20,-2.0,2.0
80,4,-6.0,20,-2.0,4.0
100,5,-4.0,20,2.0,4.0
120,6,-4.0,20,0.0,6.0
140,7,-6.0,20,-2.0,6.0
160,8,0.0,20,6.0,8.0
180,9,8.0,20,8.0,8.0
200,10,0.0,20,-8.0,8.0
240,12,0.0,20,0.0,8.0
280,14,-6.0,20,-2.0,12.0
340,17,8.0,20,4.0,14.0
400,20,2.0,20,-6.0,18.0
500,25,-8.0,20,0.0,24.0
600,30,-14.0,20,-4.0,32.0
800,40,-18.0,20,0.0,38.0
1000,50,-22.0,20,-4.0,48.0
1200,60,-16.0,20,-4.0,58.0
1400,70,-24.0,20,6.0,66.0
1600,80,-16.0,20,4.0,76.0
1800,90,14.0,20,0.0,88.0
2000,100,10.0,20,-2.0,102.0
2400,120,20.0,20,4.0,124.0
2800,140,4.0,20,6.0,150.0
3400,170,30.0,20,-4.0,168.0
4000,200,22.0,20,-6.0,196.0
5000,250,32.0,20,4.0,244.0
6000,300,84.0,20,-10.0,290.0
8000,400,114.0,20,2.0,378.0
10000,500,84.0,20,2.0,468.0
12000,600,78.0,20,4.0,570.0
14000,700,136.0,20,8.0,682.0
16000,800,82.0,20,-2.0,794.0
18000,900,132.0,20,-2.0,896.0
20000,1000,8.0,20,0.0,988.0
24000,1200,-42.0,20,4.0,1194.0
28000,1400,38.0,20,0.0,1390.0
34000,1700,-14.0,20,-4.0,1696.0
40000,2000,118.0,20,2.0,2000.0
50000,2500,216.0,20,-4.0,2458.0
60000,3000,284.0,20,2.0,2918.0
80000,4000,320.0,20,-8.0,3860.0
100000,5000,294.0,20,8.0,4834.0
120000,6000,522.0,20,-2.0,5798.0
140000,7000,374.0,20,0.0,6764.0
160000,8000,518.0,20,-4.0,7714.0
180000,9000,526.0,20,-6.0,8686.0
200000,10000,748.0,20,-10.0,9638.0
