steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.9,1,0.9,0.09999999999999998
2,2,1.6,1,0.7000000000000001,0.3999999999999999
3,3,2.2,1,0.6000000000000001,0.7999999999999998
4,4,2.4000000000000004,1,0.2,1.5999999999999999
5,5,2.5000000000000004,1,0.1,2.5
6,6,3.5000000000000004,1,1.0,2.5
7,7,3.7000000000000006,1,0.2,3.3
8,8,4.4,1,0.7000000000000001,3.5999999999999996
9,9,4.9,1,0.5,4.1
10,10,5.5,1,0.6000000000000001,4.5
12,12,7.3,1,1.0,4.7
14,14,7.9,1,0.6000000000000001,6.1
17,17,8.8,1,0.4,8.2
20,20,10.700000000000001,1,0.0,9.299999999999999
25,25,13.500000000000002,1,0.9,11.499999999999998
30,30,16.200000000000003,1,0.6000000000000001,13.799999999999999
40,40,22.800000000000004,1,0.8,17.2
50,50,27.400000000000006,1,0.2,22.599999999999998
60,60,32.900000000000006,1,0.7000000000000001,27.100000000000005
70,70,38.900000000000006,1,1.0,31.10000000000001
80,80,44.2,1,0.4,35.80000000000001
90,90,49.1,1,0.5,40.90000000000001
100,100,53.8,1,0.0,46.20000000000002
120,120,65.19999999999999,1,1.0,54.80000000000002
140,140,74.89999999999999,1,0.5,65.10000000000001
170,170,94.00000000000003,1,0.30000000000000004,75.99999999999997
200,200,110.90000000000002,1,1.0,89.09999999999998
250,250,136.50000000000003,1,0.0,113.49999999999999
300,300,170.70000000000005,1,0.8,129.29999999999995
400,400,243.80000000000015,1,1.0,156.19999999999985
500,500,322.49999999999994,1,0.9,177.49999999999955
600,600,409.4999999999996,1,1.0,190.49999999999915
700,700,500.7999999999988,1,1.0,199.1999999999988
800,800,594.2999999999979,1,0.5,205.6999999999986
900,900,686.0999999999973,1,1.0,213.89999999999844
1000,1000,782.599999999997,1,1.0,217.39999999999836
1200,1200,980.5999999999967,1,1.0,219.3999999999983
1400,1400,1180.299999999997,1,1.0,219.69999999999828
1700,1700,1480.099999999997,1,1.0,219.89999999999827
2000,2000,1779.199999999997,1,1.0,220.79999999999828
2500,2500,2278.9999999999973,1,1.0,220.99999999999827
3000,3000,2778.7999999999975,1,1.0,221.19999999999825
4000,4000,3778.6999999999975,1,1.0,221.29999999999825
5000,5000,4777.999999999996,1,1.0,221.99999999999824
6000,6000,5777.699999999996,1,1.0,222.29999999999825
7000,7000,6777.699999999996,1,1.0,222.29999999999825
8000,8000,7777.699999999996,1,1.0,222.29999999999825
9000,9000,8777.699999999997,1,1.0,222.29999999999825
10000,10000,9777.599999999997,1,1.0,222.39999999999824
