steps,episode,total_return,episode_len,episode_return,total_regret
1,1,8.629779140820458,1,8.629779140820458,0.19999999999999996
2,2,4.2575252424468255,1,-4.372253898373633,0.7999999999999999
3,3,10.704609434971413,1,6.4470841925245885,0.7999999999999999
4,4,7.069961412432539,1,-3.6346480225388738,1.7
5,5,9.22699432537863,1,2.157032912946092,2.4
6,6,11.233295956605291,1,2.006301631226661,3.0999999999999996
7,7,13.091060733313213,1,1.8577647767079224,3.9999999999999996
8,8,14.835041667914947,1,1.7439809346017336,4.8
9,9,14.666596781346154,1,-0.16844488656879242,5.6
10,10,20.7806236676574,1,6.114026886311247,6.3999999999999995
12,12,23.11041874417301,1,4.286408485088414,7.099999999999999
14,14,25.847711334631196,1,5.246752945585642,7.699999999999998
17,17,24.545644789425445,1,-2.427732425640805,8.899999999999997
20,20,32.51267208333123,1,5.433964784758397,10.699999999999998
25,25,28.32868318256539,1,-0.19247212827816262,12.799999999999999
30,30,37.88641319196986,1,2.8762476601359865,16.599999999999998
40,40,43.91098474564007,1,2.6708164841075552,20.299999999999997
50,50,31.549932806156693,1,2.705550459933043,25.599999999999998
60,60,40.232676951094845,1,2.459307080422989,31.299999999999997
70,70,41.44824702034827,1,1.9777376715741335,34.89999999999999
80,80,54.513828851597275,1,2.002597344312325,41.79999999999999
90,90,55.13515191696131,1,-0.5225175863711049,47.29999999999999
100,100,57.86437462193107,1,-2.1806224516107333,52.099999999999994
120,120,56.62251194786847,1,-3.8042331813465387,59.599999999999994
140,140,52.129164312751286,1,4.823591740648166,68.09999999999995
170,170,74.28988001167929,1,-3.888190112989146,81.49999999999996
200,200,96.43484476431858,1,4.295257161396154,95.09999999999997
250,250,133.8047479407001,1,0.4365823431201834,120.99999999999999
300,300,157.1065014388932,1,2.5333319021340035,139.49999999999997
400,400,161.47709277918997,1,0.2016925543740996,177.20000000000005
500,500,241.33775746136374,1,2.1205793661873944,220.30000000000027
600,600,304.34721114013263,1,-6.123893334617034,257.90000000000043
700,700,380.60225733243567,1,3.0661446612590746,297.2000000000005
800,800,462.19089594827216,1,-1.4916362631423978,328.1000000000004
900,900,509.0651988269821,1,1.0175447832526219,363.9000000000004
1000,1000,615.5560735812695,1,2.587128217950426,394.50000000000006
1200,1200,826.1251791388506,1,-2.4468504404448366,432.5
1400,1400,945.7520170160345,1,-0.4948817413673334,468.8999999999996
1700,1700,1226.2259144093186,1,3.148687035931718,513.9999999999992
2000,2000,1562.7949819539645,1,2.762371529315949,568.9999999999987
2500,2500,1831.1943444805315,1,3.1836972260220304,633.4999999999987
3000,3000,2377.2721903108195,1,-1.729354900872126,671.6999999999978
4000,4000,3262.950865489102,1,-1.5282889960345245,725.499999999997
5000,5000,4183.282912603485,1,2.08958178008897,754.0999999999947
6000,6000,5154.174008419058,1,-3.560712221999908,773.8999999999945
7000,7000,6194.96174873365,1,2.476811833971504,804.2999999999945
8000,8000,7072.50944682273,1,7.008285433270259,839.6999999999952
9000,9000,7998.149420629908,1,0.7240154547015888,874.1999999999961
10000,10000,8879.89316419693,1,0.05393269503511089,886.8999999999968
