steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.024,1,0.024,0.19999999999999996
2,2,0.027,1,0.003,1.1
3,3,0.048,1,0.021,1.4
4,4,0.06,1,0.012,2.0
5,5,0.066,1,0.006,2.8
6,6,0.066,1,0.0,3.8
7,7,0.08700000000000001,1,0.021,4.1
8,8,0.11100000000000002,1,0.024,4.3
9,9,0.132,1,0.021,4.6
10,10,0.15000000000000002,1,0.018000000000000002,5.0
12,12,0.195,1,0.015,5.5
14,14,0.20400000000000001,1,0.0,7.2
17,17,0.24300000000000002,1,0.009000000000000001,8.9
20,20,0.273,1,0.015,10.9
25,25,0.3360000000000001,1,0.03,13.8
30,30,0.42600000000000016,1,0.018000000000000002,15.8
40,40,0.5820000000000003,1,0.021,20.600000000000005
50,50,0.6720000000000004,1,0.009000000000000001,27.599999999999998
60,60,0.8070000000000005,1,0.003,33.1
70,70,0.9210000000000006,1,0.006,39.300000000000004
80,80,1.0680000000000005,1,0.006,44.4
90,90,1.2240000000000002,1,0.021,49.199999999999996
100,100,1.3379999999999996,1,0.0,55.4
120,120,1.6499999999999992,1,0.006,65.0
140,140,2.0129999999999986,1,0.0,72.9
170,170,2.609999999999997,1,0.024,82.99999999999999
200,200,3.224999999999995,1,0.003,92.5
250,250,3.9869999999999934,1,0.015,117.10000000000002
300,300,5.087999999999992,1,0.021,130.4
400,400,7.286999999999997,1,0.03,157.0999999999999
500,500,9.689999999999968,1,0.024,176.99999999999966
600,600,12.203999999999922,1,0.03,193.19999999999948
700,700,14.87399999999986,1,0.027,204.19999999999914
800,800,17.6699999999999,1,0.027,210.9999999999989
900,900,20.487000000000005,1,0.03,217.09999999999872
1000,1000,23.445000000000118,1,0.03,218.49999999999866
1200,1200,29.388000000000343,1,0.03,220.3999999999986
1400,1400,35.361000000000566,1,0.03,221.29999999999862
1700,1700,44.343000000000906,1,0.03,221.8999999999986
2000,2000,53.34000000000125,1,0.03,221.9999999999986
2500,2500,68.34000000000181,1,0.03,221.9999999999986
3000,3000,83.33700000000238,1,0.03,222.0999999999986
4000,4000,113.33400000000351,1,0.03,222.1999999999986
5000,5000,143.32800000000464,1,0.03,222.39999999999858
6000,6000,173.31300000000576,1,0.03,222.89999999999858
7000,7000,203.30400000000688,1,0.03,223.1999999999986
8000,8000,233.30400000000802,1,0.03,223.1999999999986
9000,9000,263.30400000000225,1,0.03,223.1999999999986
10000,10000,293.300999999975,1,0.03,223.2999999999986
