steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.0059999999999999975,50,-0.0059999999999999975,1,0
100,2,-0.010400000000000001,50,-0.0044,2,0
150,3,-0.015200000000000014,50,-0.0048,3,0
200,4,-0.02019999999999999,50,-0.004999999999999999,4,0
250,5,-0.026199999999999952,50,-0.0059999999999999975,5,0
300,6,-0.031199999999999922,50,-0.004999999999999999,6,0
350,7,-0.03659999999999989,50,-0.0053999999999999986,7,0
400,8,-0.04159999999999986,50,-0.004999999999999999,8,0
450,9,-0.04699999999999983,50,-0.0053999999999999986,9,0
500,10,-0.052199999999999795,50,-0.005199999999999999,10,0
600,12,-0.06279999999999974,50,-0.005199999999999999,12,0
700,14,-0.07420000000000007,50,-0.005799999999999998,14,0
850,17,-0.0892000000000005,50,-0.005199999999999999,17,0
1000,20,-0.10480000000000095,50,-0.005599999999999998,20,0
1250,25,-0.13200000000000173,50,-0.0053999999999999986,25,0
1500,30,-0.15660000000000243,50,-0.0048,30,0
2000,40,-0.20620000000000385,50,-0.0048,40,0
2500,50,-0.2564000000000044,50,-0.0053999999999999986,50,0
3000,60,-0.30579999999999896,50,-0.0046,60,0
3500,70,-0.35659999999999337,50,-0.0059999999999999975,70,0
4000,80,-0.4041999999999881,50,-0.0044,80,0
4500,90,-0.4515999999999829,50,-0.005599999999999998,90,0
5000,100,-0.4967999999999779,50,-0.0044,100,0
6000,120,-0.595799999999967,50,-0.0053999999999999986,120,0
7000,140,-0.6943999999999562,50,-0.0048,140,0
8500,170,-0.8445999999999396,50,-0.0048,170,0
10000,200,-0.985999999999924,50,-0.004999999999999999,200,0
12500,250,-1.1827999999999024,50,-0.003400000000000001,250,0
15000,300,-1.3537999999998835,50,-0.003200000000000001,300,0
20000,400,-1.6529999999998506,50,-0.002800000000000001,400,0
25000,500,-1.903999999999823,50,-0.0024000000000000007,500,0
30000,600,-2.1449999999997966,50,-0.0024000000000000007,600,0
35000,700,-2.3891999999997697,50,-0.0024000000000000007,700,0
40000,800,-2.6369999999997424,50,-0.0026000000000000007,800,0
45000,900,-2.8803999999997156,50,-0.0020000000000000005,900,0
50000,1000,-3.0835999999996933,50,-0.0020000000000000005,1000,0
60000,1200,-3.484199999999649,50,-0.0020000000000000005,1200,0
70000,1400,-3.8901999999996044,50,-0.0020000000000000005,1400,0
85000,1700,-4.407400000000452,50,-0.0016000000000000003,1700,0
100000,2000,-4.888800000001468,50,-0.0016000000000000003,2000,0
125000,2500,-5.689800000003158,50,-0.0016000000000000003,2500,0
150000,3000,-6.517600000004905,50,-0.0016000000000000003,3000,0
200000,4000,-7.989800000008012,50,-0.0012000000000000001,4000,0
250000,5000,-9.36140000000486,50,-0.0014000000000000002,5000,0
300000,6000,-10.891600000001294,50,-0.0016000000000000003,6000,0
350000,7000,-12.659199999997174,50,-0.0020000000000000005,7000,0
400000,8000,-14.405399999993104,50,-0.0014000000000000002,8000,0
450000,9000,-15.8229999999898,50,-0.0016000000000000003,9000,0
500000,10000,-16.929399999987222,50,-0.0008,10000,0
