steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.005,30,-0.005,1,0
60,2,0.22025115463724465,30,0.22525115463724463,2,0
90,3,0.21525115463724478,30,-0.005,3,0
120,4,-0.2280793459413106,30,-0.4433305005785555,4,0
150,5,0.7644017745685475,30,0.992481120509858,5,0
180,6,0.760401774568548,30,-0.004000000000000001,6,0
210,7,0.7567351079018817,30,-0.0036666666666666675,7,0
240,8,0.751401774568549,30,-0.005333333333333333,8,0
270,9,0.7474017745685494,30,-0.004000000000000001,9,0
300,10,0.7424017745685499,30,-0.005,10,0
360,12,0.7320684412352177,30,-0.005,12,0
420,14,0.7214017745685523,30,-0.004666666666666667,14,0
510,17,2.153025867489293,30,1.4753551099945137,17,0
600,20,3.2031598324980943,30,-0.004333333333333334,20,0
750,25,3.2242522678103684,30,-0.11355270103138705,25,0
900,30,5.56493551980323,30,-0.0036666666666666675,30,0
1200,40,5.267433482536537,30,-0.31025860325543364,39,0
1500,50,4.504997336310792,30,-0.005666666666666666,48,0
1800,60,4.447330669644055,30,-0.004333333333333334,58,0
2100,70,5.0965256762527105,30,-0.15384873181918518,67,0
2400,80,5.300049023197194,30,-0.005999999999999999,77,0
2700,90,6.733411544342134,30,0.2046185247025541,87,0
3000,100,6.2175278953091615,30,-0.006333333333333332,97,0
3600,120,9.22806687412381,30,0.28295031652730673,117,0
4200,140,9.504762337395407,30,-0.006333333333333332,136,0
5100,170,10.375809028401951,30,-0.43301945753026744,164,0
6000,200,12.893917861994062,30,-0.17038537626483535,188,0
7500,250,29.172808447878058,30,0.18723852798977866,234,0
9000,300,24.353537386699717,30,0.21406098064015025,281,0
12000,400,30.844181878778297,30,-0.6240343498069224,375,0
15000,500,27.262575116516693,30,-0.005999999999999999,469,0
18000,600,27.20428071993591,30,-0.005999999999999999,551,0
21000,700,33.086953000568386,30,-0.005333333333333333,636,0
24000,800,34.467569747844,30,-0.005999999999999999,727,0
27000,900,29.975261355916665,30,-0.005333333333333333,823,0
30000,1000,29.26618453303959,30,-0.005999999999999999,922,0
36000,1200,24.96371934701689,30,-0.006666666666666665,1122,0
42000,1400,22.767150442507827,30,-0.005999999999999999,1319,0
51000,1700,21.455909531468627,30,-0.005333333333333333,1611,0
60000,2000,14.4625087418454,30,-0.0030000000000000005,1903,0
75000,2500,10.84218522790695,30,-0.004000000000000001,2385,0
90000,3000,6.962917710739082,30,-0.5958506081184811,2865,0
120000,4000,15.814422335881993,30,-0.005666666666666666,3845,0
150000,5000,-3.0711220815070597,30,-0.004333333333333334,4836,0
180000,6000,-1.6172776636245811,30,0.9828342900350796,5823,0
210000,7000,-25.481765869480444,30,-0.006333333333333332,6820,0
240000,8000,-28.615950134908445,30,-0.003333333333333334,7810,0
270000,9000,4.877020992786608,30,-0.004000000000000001,8809,0
300000,10000,-0.8382456487962022,30,-0.004000000000000001,9807,0
