steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,-2.0,3,-1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-4.0,3,-1.0,2,12.0
27,9,-3.0,3,1.0,3,12.0
30,10,-4.0,3,-1.0,3,14.0
36,12,-4.0,3,1.0,4,16.0
42,14,-4.0,3,1.0,5,18.0
51,17,-7.0,3,-1.0,5,24.0
60,20,-4.0,3,1.0,8,24.0
75,25,-7.0,3,-1.0,9,32.0
90,30,-10.0,3,1.0,10,40.0
120,40,-14.0,3,1.0,13,54.0
150,50,-12.0,3,1.0,19,62.0
180,60,-6.0,3,1.0,27,66.0
210,70,-6.0,3,-1.0,32,76.0
240,80,-4.0,3,-1.0,38,84.0
270,90,2.0,3,1.0,46,88.0
300,100,-2.0,3,-1.0,49,102.0
360,120,0.0,3,1.0,60,120.0
420,140,12.0,3,1.0,76,128.0
510,170,10.0,3,-1.0,90,160.0
600,200,22.0,3,-1.0,111,178.0
750,250,32.0,3,-1.0,141,218.0
900,300,56.0,3,1.0,178,244.0
1200,400,112.0,3,1.0,256,288.0
1500,500,152.0,3,-1.0,326,348.0
1800,600,208.0,3,1.0,404,392.0
2100,700,246.0,3,1.0,473,454.0
2400,800,298.0,3,1.0,549,502.0
2700,900,342.0,3,1.0,621,558.0
3000,1000,382.0,3,1.0,691,618.0
3600,1200,488.0,3,1.0,844,712.0
4200,1400,582.0,3,1.0,991,818.0
5100,1700,756.0,3,1.0,1228,944.0
6000,2000,978.0,3,-1.0,1489,1022.0
7500,2500,1354.0,3,1.0,1927,1146.0
9000,3000,1748.0,3,1.0,2374,1252.0
12000,4000,2526.0,3,1.0,3263,1474.0
15000,5000,3330.0,3,1.0,4165,1670.0
18000,6000,4144.0,3,1.0,5072,1856.0
21000,7000,4952.0,3,1.0,5976,2048.0
24000,8000,5774.0,3,1.0,6887,2226.0
27000,9000,6584.0,3,1.0,7792,2416.0
30000,10000,7390.0,3,1.0,8695,2610.0
