steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,0.0,1,1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-8.0,1,-1.0,18.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-13.0,1,-1.0,30.0
20,20,-12.0,1,1.0,32.0
25,25,-15.0,1,-1.0,40.0
30,30,-18.0,1,-1.0,48.0
40,40,-26.0,1,-1.0,66.0
50,50,-34.0,1,-1.0,84.0
60,60,-36.0,1,1.0,96.0
70,70,-46.0,1,-1.0,116.0
80,80,-54.0,1,-1.0,134.0
90,90,-64.0,1,-1.0,154.0
100,100,-68.0,1,-1.0,168.0
120,120,-84.0,1,-1.0,204.0
140,140,-100.0,1,-1.0,240.0
170,170,-124.0,1,-1.0,294.0
200,200,-146.0,1,-1.0,346.0
250,250,-192.0,1,-1.0,442.0
300,300,-232.0,1,-1.0,532.0
400,400,-320.0,1,-1.0,720.0
500,500,-400.0,1,-1.0,900.0
600,600,-488.0,1,-1.0,1088.0
700,700,-558.0,1,-1.0,1258.0
800,800,-634.0,1,-1.0,1434.0
900,900,-712.0,1,-1.0,1612.0
1000,1000,-786.0,1,-1.0,1786.0
1200,1200,-942.0,1,-1.0,2142.0
1400,1400,-1102.0,1,-1.0,2502.0
1700,1700,-1340.0,1,-1.0,3040.0
2000,2000,-1568.0,1,-1.0,3568.0
2500,2500,-1974.0,1,1.0,4474.0
3000,3000,-2370.0,1,-1.0,5370.0
4000,4000,-3132.0,1,-1.0,7132.0
5000,5000,-3878.0,1,-1.0,8878.0
6000,6000,-4572.0,1,-1.0,10572.0
7000,7000,-5222.0,1,-1.0,12222.0
8000,8000,-5938.0,1,1.0,13938.0
9000,9000,-6612.0,1,-1.0,15612.0
10000,10000,-7266.0,1,1.0,17266.0
