steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-2.1059567033860462,1,-2.1059567033860462,2.0
2,2,3.095602074082728,1,5.201558777468774,2.0
3,3,1.4340672648332182,1,-1.6615348092495097,4.0
4,4,2.860852073535793,1,1.4267848087025747,6.0
5,5,3.6452465385074255,1,0.7843944649716323,8.0
6,6,-5.163840722842728,1,-8.809087261350154,10.0
7,7,-8.79413325362108,1,-3.6302925307783522,12.0
8,8,-6.333059637438767,1,2.4610736161823135,12.0
9,9,-2.7794198728508928,1,3.5536397645878743,14.0
10,10,-10.42956496745109,1,-7.650145094600198,16.0
12,12,-8.297683896205921,1,-3.315349667858868,18.0
14,14,-12.141727410667155,1,2.1546717673249005,22.0
17,17,-18.457407520037453,1,0.03555628842280312,28.0
20,20,-20.303979222162322,1,-1.5770252687885224,34.0
25,25,-22.3351115979712,1,-5.416186877010881,42.0
30,30,-35.186060051043796,1,-5.461902596996237,52.0
40,40,-43.297597264394724,1,-4.156436622263946,72.0
50,50,-61.24602925337085,1,-0.5766397037394843,92.0
60,60,-56.79203887853659,1,-3.2497118323550938,104.0
70,70,-65.30784930016905,1,-0.7150579770401969,120.0
80,80,-76.79500955391666,1,-2.8236800093012304,140.0
90,90,-102.9667868998038,1,-1.5697094246165335,160.0
100,100,-106.78418189181845,1,0.6469794532231912,178.0
120,120,-134.29436611889787,1,-1.892412656741326,212.0
140,140,-107.7019416785789,1,1.6162006268590572,248.0
170,170,-147.6664921757804,1,-4.550262708421349,302.0
200,200,-167.81574412824747,1,-5.5637684662319655,354.0
250,250,-268.44457252300356,1,1.6407009242171084,450.0
300,300,-274.20884652179035,1,9.965746851428097,544.0
400,400,-361.1728463357346,1,0.31219856179720784,724.0
500,500,-353.3793978771397,1,3.931074366439402,898.0
600,600,-449.8819370475115,1,-5.22982265496786,1084.0
700,700,-533.59686270883,1,-1.1067125872998718,1266.0
800,800,-588.1463297832295,1,-5.6276091581845815,1448.0
900,900,-641.3975004790526,1,-2.4604222967502505,1614.0
1000,1000,-710.7345534042732,1,4.353692181698277,1798.0
1200,1200,-902.5579744857597,1,2.572434724170228,2152.0
1400,1400,-1015.6011151403313,1,0.9560461333024899,2506.0
1700,1700,-1194.7925805213329,1,2.060800538259306,3042.0
2000,2000,-1413.4794810409148,1,-1.5085798311674083,3580.0
2500,2500,-1727.0815163325997,1,-3.039042586522207,4466.0
3000,3000,-2215.280834619128,1,-5.473562873021618,5378.0
4000,4000,-2918.5365950358623,1,-0.6022778821339188,7194.0
5000,5000,-3718.1450293723337,1,-4.92882535193922,8984.0
6000,6000,-4597.629852435438,1,1.6483170004227596,10780.0
7000,7000,-5361.114358074533,1,0.9895010651558829,12568.0
8000,8000,-6199.652863070248,1,0.7690365000257163,14356.0
9000,9000,-6840.816155727866,1,-4.531706202668869,16132.0
10000,10000,-7650.409912521273,1,-5.345484668139152,17938.0
