steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.03,1,-0.03,2.0
2,2,-0.06,1,-0.03,4.0
3,3,-0.09,1,-0.03,6.0
4,4,-0.12,1,-0.03,8.0
5,5,-0.15,1,-0.03,10.0
6,6,-0.18,1,-0.03,12.0
7,7,-0.15,1,0.03,12.0
8,8,-0.18,1,-0.03,14.0
9,9,-0.15,1,0.03,14.0
10,10,-0.18,1,-0.03,16.0
12,12,-0.24,1,-0.03,20.0
14,14,-0.30000000000000004,1,-0.03,24.0
17,17,-0.3900000000000001,1,-0.03,30.0
20,20,-0.4800000000000002,1,-0.03,36.0
25,25,-0.4500000000000002,1,-0.03,40.0
30,30,-0.6000000000000003,1,-0.03,50.0
40,40,-0.7800000000000005,1,-0.03,66.0
50,50,-1.0800000000000007,1,-0.03,86.0
60,60,-1.380000000000001,1,-0.03,106.0
70,70,-1.5600000000000012,1,0.03,122.0
80,80,-1.8600000000000014,1,-0.03,142.0
90,90,-2.1600000000000006,1,-0.03,162.0
100,100,-2.399999999999999,1,-0.03,180.0
120,120,-2.7599999999999967,1,-0.03,212.0
140,140,-3.2399999999999936,1,-0.03,248.0
170,170,-4.019999999999989,1,-0.03,304.0
200,200,-4.859999999999996,1,-0.03,362.0
250,250,-6.120000000000006,1,-0.03,454.0
300,300,-7.260000000000016,1,-0.03,542.0
400,400,-9.89999999999998,1,-0.03,730.0
500,500,-12.659999999999922,1,0.03,922.0
600,600,-15.11999999999987,1,-0.03,1104.0
700,700,-17.519999999999907,1,-0.03,1284.0
800,800,-19.859999999999996,1,-0.03,1462.0
900,900,-22.260000000000087,1,0.03,1642.0
1000,1000,-24.360000000000166,1,-0.03,1812.0
1200,1200,-29.280000000000353,1,-0.03,2176.0
1400,1400,-33.660000000000515,1,-0.03,2522.0
1700,1700,-41.040000000000795,1,-0.03,3068.0
2000,2000,-47.70000000000105,1,-0.03,3590.0
2500,2500,-59.04000000000148,1,-0.03,4468.0
3000,3000,-71.28000000000193,1,-0.03,5376.0
4000,4000,-94.2000000000028,1,-0.03,7140.0
5000,5000,-115.98000000000363,1,0.03,8866.0
6000,6000,-137.16000000000443,1,-0.03,10572.0
7000,7000,-156.96000000000518,1,-0.03,12232.0
8000,8000,-178.860000000006,1,-0.03,13962.0
9000,9000,-198.84000000000677,1,-0.03,15628.0
10000,10000,-219.90000000000757,1,-0.03,17330.0
