steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,2.0
40,2,10.0,20,6.0,2.0
60,3,12.0,20,2.0,2.0
80,4,20.0,20,8.0,2.0
100,5,16.0,20,-4.0,4.0
120,6,12.0,20,-4.0,4.0
140,7,10.0,20,-2.0,6.0
160,8,6.0,20,-4.0,8.0
180,9,0.0,20,-6.0,10.0
200,10,-4.0,20,-4.0,10.0
240,12,8.0,20,2.0,10.0
280,14,6.0,20,-4.0,14.0
340,17,-6.0,20,-4.0,20.0
400,20,-10.0,20,-4.0,22.0
500,25,-16.0,20,-6.0,28.0
600,30,-32.0,20,-2.0,30.0
800,40,-26.0,20,2.0,38.0
1000,50,-34.0,20,4.0,48.0
1200,60,-22.0,20,6.0,58.0
1400,70,14.0,20,6.0,68.0
1600,80,4.0,20,0.0,84.0
1800,90,-26.0,20,-12.0,92.0
2000,100,-44.0,20,2.0,106.0
2400,120,-50.0,20,0.0,132.0
2800,140,-20.0,20,-4.0,152.0
3400,170,24.0,20,6.0,190.0
4000,200,-10.0,20,-2.0,224.0
5000,250,20.0,20,-4.0,266.0
6000,300,-24.0,20,0.0,316.0
8000,400,94.0,20,8.0,388.0
10000,500,160.0,20,2.0,426.0
12000,600,210.0,20,-4.0,452.0
14000,700,302.0,20,-2.0,484.0
16000,800,348.0,20,0.0,532.0
18000,900,392.0,20,2.0,600.0
20000,1000,462.0,20,-8.0,640.0
24000,1200,656.0,20,2.0,730.0
28000,1400,858.0,20,6.0,852.0
34000,1700,832.0,20,-2.0,1048.0
40000,2000,658.0,20,0.0,1320.0
50000,2500,616.0,20,-2.0,1746.0
60000,3000,800.0,20,2.0,2132.0
80000,4000,1458.0,20,-2.0,2530.0
100000,5000,2082.0,20,2.0,2896.0
120000,6000,2428.0,20,-2.0,3580.0
140000,7000,2896.0,20,-6.0,4272.0
160000,8000,3606.0,20,-2.0,4688.0
180000,9000,4030.0,20,-4.0,5148.0
200000,10000,4366.0,20,0.0,5506.0
