steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-1.0,1,1.0,4.0
4,4,0.0,1,1.0,4.0
5,5,1.0,1,1.0,4.0
6,6,0.0,1,-1.0,6.0
7,7,-1.0,1,-1.0,8.0
8,8,0.0,1,1.0,8.0
9,9,-1.0,1,-1.0,10.0
10,10,0.0,1,1.0,10.0
12,12,2.0,1,1.0,10.0
14,14,0.0,1,-1.0,14.0
17,17,3.0,1,1.0,14.0
20,20,4.0,1,1.0,16.0
25,25,3.0,1,1.0,22.0
30,30,2.0,1,-1.0,28.0
40,40,6.0,1,-1.0,34.0
50,50,0.0,1,1.0,50.0
60,60,6.0,1,-1.0,54.0
70,70,6.0,1,-1.0,64.0
80,80,6.0,1,-1.0,74.0
90,90,6.0,1,-1.0,84.0
100,100,6.0,1,-1.0,94.0
120,120,10.0,1,-1.0,110.0
140,140,14.0,1,1.0,126.0
170,170,12.0,1,-1.0,158.0
200,200,8.0,1,-1.0,192.0
250,250,8.0,1,1.0,242.0
300,300,20.0,1,1.0,280.0
400,400,48.0,1,1.0,352.0
500,500,108.0,1,1.0,392.0
600,600,184.0,1,-1.0,416.0
700,700,270.0,1,1.0,430.0
800,800,364.0,1,1.0,436.0
900,900,444.0,1,1.0,456.0
1000,1000,524.0,1,1.0,476.0
1200,1200,714.0,1,1.0,486.0
1400,1400,892.0,1,1.0,508.0
1700,1700,1174.0,1,1.0,526.0
2000,2000,1438.0,1,1.0,562.0
2500,2500,1920.0,1,1.0,580.0
3000,3000,2396.0,1,1.0,604.0
4000,4000,3356.0,1,-1.0,644.0
5000,5000,4284.0,1,1.0,716.0
6000,6000,5264.0,1,1.0,736.0
7000,7000,6236.0,1,1.0,764.0
8000,8000,7230.0,1,1.0,770.0
9000,9000,8228.0,1,1.0,772.0
10000,10000,9226.0,1,1.0,774.0
