steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,1.1,1,0.1,0.9
3,3,1.6,1,0.5,1.4
4,4,2.5,1,0.9,1.5
5,5,3.2,1,0.7000000000000001,1.7999999999999998
6,6,3.3000000000000003,1,0.1,2.6999999999999997
7,7,3.3000000000000003,1,0.0,3.6999999999999997
8,8,4.0,1,0.7000000000000001,3.9999999999999996
9,9,4.5,1,0.5,4.5
10,10,5.3,1,0.8,4.7
12,12,6.6,1,0.8,5.4
14,14,8.4,1,0.8,5.6000000000000005
17,17,9.1,1,0.30000000000000004,7.9
20,20,10.600000000000001,1,0.30000000000000004,9.399999999999999
25,25,14.000000000000002,1,0.8,10.999999999999998
30,30,16.400000000000002,1,0.6000000000000001,13.6
40,40,22.100000000000005,1,0.8,17.899999999999995
50,50,26.00000000000001,1,0.1,23.99999999999999
60,60,30.400000000000013,1,0.5,29.599999999999987
70,70,35.40000000000001,1,0.1,34.59999999999999
80,80,39.900000000000006,1,0.9,40.099999999999994
90,90,44.50000000000001,1,0.0,45.49999999999999
100,100,49.60000000000001,1,0.5,50.39999999999999
120,120,59.900000000000006,1,0.30000000000000004,60.099999999999994
140,140,76.1000000000001,1,0.9,63.900000000000006
170,170,103.10000000000026,1,0.9,66.89999999999984
200,200,130.10000000000042,1,0.9,69.89999999999966
250,250,175.1000000000007,1,0.9,74.89999999999938
300,300,220.100000000001,1,0.9,79.8999999999991
400,400,310.09999999999985,1,0.9,89.89999999999853
500,500,400.0999999999976,1,0.9,99.89999999999796
600,600,490.0999999999953,1,0.9,109.89999999999739
700,700,580.0999999999931,1,0.9,119.89999999999682
800,800,670.0999999999908,1,0.9,129.89999999999625
900,900,760.0999999999885,1,0.9,139.89999999999569
1000,1000,850.0999999999863,1,0.9,149.89999999999512
1200,1200,1030.0999999999824,1,0.9,169.89999999999398
1400,1400,1210.1000000000006,1,0.9,189.89999999999284
1700,1700,1480.1000000000279,1,0.9,219.89999999999114
2000,2000,1750.1000000000552,1,0.9,249.89999999998943
2500,2500,2200.1000000001004,1,0.9,299.89999999999907
3000,3000,2650.100000000146,1,0.9,349.90000000001044
4000,4000,3550.100000000237,1,0.9,449.9000000000332
5000,5000,4450.100000000149,1,0.9,549.9000000000559
6000,6000,5350.099999999785,1,0.9,649.9000000000786
7000,7000,6250.099999999421,1,0.9,749.9000000001014
8000,8000,7150.099999999057,1,0.9,849.9000000001241
9000,9000,8050.099999998693,1,0.9,949.9000000001469
10000,10000,8950.09999999833,1,0.9,1049.9000000001402
