steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.001,1,0.001,1.0
3,3,0.0013,1,0.00030000000000000003,1.7
4,4,0.0018,1,0.0005,2.2
5,5,0.0022,1,0.0004,2.8000000000000003
6,6,0.003,1,0.0008,3.0
7,7,0.003,1,0.0,4.0
8,8,0.0039000000000000003,1,0.0009000000000000001,4.1
9,9,0.0039000000000000003,1,0.0,5.1
10,10,0.004200000000000001,1,0.00030000000000000003,5.8
12,12,0.0048000000000000004,1,0.0002,7.199999999999999
14,14,0.0052,1,0.0002,8.799999999999999
17,17,0.0066,1,0.0006000000000000001,10.4
20,20,0.0073,1,0.0001,12.700000000000001
25,25,0.0103,1,0.0007000000000000001,14.700000000000001
30,30,0.012900000000000002,1,0.0006000000000000001,17.099999999999998
40,40,0.016600000000000004,1,0.0004,23.4
50,50,0.0221,1,0.0008,27.899999999999995
60,60,0.025300000000000007,1,0.00030000000000000003,34.7
70,70,0.03050000000000001,1,0.001,39.5
80,80,0.03460000000000003,1,0.0001,45.400000000000006
90,90,0.04070000000000003,1,0.0007000000000000001,49.300000000000004
100,100,0.047000000000000035,1,0.0006000000000000001,53.0
120,120,0.05730000000000005,1,0.0008,62.7
140,140,0.06620000000000005,1,0.0005,73.8
170,170,0.08120000000000006,1,0.0005,88.8
200,200,0.09620000000000008,1,0.0005,103.8
250,250,0.1212000000000001,1,0.0005,128.8
300,300,0.1462000000000001,1,0.0005,153.8
400,400,0.19620000000000015,1,0.0005,203.8
500,500,0.2462000000000002,1,0.0005,253.8
600,600,0.29620000000000024,1,0.0005,303.8
700,700,0.3462000000000003,1,0.0005,353.8
800,800,0.39620000000000033,1,0.0005,403.8
900,900,0.4462000000000004,1,0.0005,453.8
1000,1000,0.4962000000000004,1,0.0005,503.8
1200,1200,0.5961999999999898,1,0.0005,603.8
1400,1400,0.6961999999999788,1,0.0005,703.8
1700,1700,0.8461999999999623,1,0.0005,853.8
2000,2000,0.9961999999999458,1,0.0005,1003.8
2500,2500,1.2461999999999183,1,0.0005,1253.8
3000,3000,1.4961999999998907,1,0.0005,1503.8
4000,4000,1.9961999999998357,1,0.0005,2003.8
5000,5000,2.496200000000001,1,0.0005,2503.8
6000,6000,2.996200000000168,1,0.0005,3003.8
7000,7000,3.496200000000335,1,0.0005,3503.8
8000,8000,3.996200000000502,1,0.0005,4003.8
9000,9000,4.496200000000228,1,0.0005,4503.8
10000,10000,4.996199999999951,1,0.0005,5003.8
