steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.004000000000000001,30,-0.004000000000000001,1,0
60,2,-0.00933333333333333,30,-0.005333333333333333,2,0
90,3,-0.014999999999999993,30,-0.005666666666666666,3,0
120,4,-0.01933333333333334,30,-0.004333333333333334,4,0
150,5,-0.025000000000000033,30,-0.005666666666666666,5,0
180,6,-0.03033333333333339,30,-0.005333333333333333,6,0
210,7,-0.0356666666666667,30,-0.005333333333333333,7,0
240,8,-0.041,30,-0.005333333333333333,8,0
270,9,-0.0463333333333333,30,-0.005333333333333333,9,0
300,10,-0.051666666666666604,30,-0.005333333333333333,10,0
360,12,-0.062333333333333206,30,-0.005333333333333333,12,0
420,14,-0.07300000000000002,30,-0.005333333333333333,14,0
510,17,-0.08900000000000026,30,-0.005333333333333333,17,0
600,20,-0.1050000000000005,30,-0.005333333333333333,20,0
750,25,-0.13166666666666726,30,-0.005333333333333333,25,0
900,30,-0.15833333333333321,30,-0.005333333333333333,30,0
1200,40,-0.21166666666666512,30,-0.005333333333333333,40,0
1500,50,-0.26499999999999824,30,-0.005333333333333333,50,0
1800,60,-0.3183333333333346,30,-0.005333333333333333,60,0
2100,70,-0.3716666666666709,30,-0.005333333333333333,70,0
2400,80,-0.42500000000000726,30,-0.005333333333333333,80,0
2700,90,-0.4783333333333436,30,-0.005333333333333333,90,0
3000,100,-0.5316666666666746,30,-0.005333333333333333,100,0
3600,120,-0.6383333333333295,30,-0.005333333333333333,120,0
4200,140,-0.7449999999999845,30,-0.005333333333333333,140,0
5100,170,-0.9049999999999668,30,-0.005333333333333333,170,0
6000,200,-1.0649999999999493,30,-0.005333333333333333,200,0
7500,250,-1.3316666666665866,30,-0.005333333333333333,250,0
9000,300,-1.598333333333224,30,-0.005333333333333333,300,0
12000,400,-2.1316666666664985,30,-0.005333333333333333,400,0
15000,500,-2.664999999999773,30,-0.005333333333333333,500,0
18000,600,-3.1983333333330477,30,-0.005333333333333333,600,0
21000,700,-3.7316666666663223,30,-0.005333333333333333,700,0
24000,800,-4.26499999999995,30,-0.005333333333333333,800,0
27000,900,-4.798333333333935,30,-0.005333333333333333,900,0
30000,1000,-5.33166666666792,30,-0.005333333333333333,1000,0
36000,1200,-6.3983333333358905,30,-0.005333333333333333,1200,0
42000,1400,-7.465000000003861,30,-0.005333333333333333,1400,0
51000,1700,-9.065000000005815,30,-0.005333333333333333,1700,0
60000,2000,-10.66500000000777,30,-0.005333333333333333,2000,0
75000,2500,-13.331666666677696,30,-0.005333333333333333,2500,0
90000,3000,-15.998333333347622,30,-0.005333333333333333,3000,0
120000,4000,-21.33166666668747,30,-0.005333333333333333,4000,0
150000,5000,-26.665000000027323,30,-0.005333333333333333,5000,0
180000,6000,-31.998333333367174,30,-0.005333333333333333,6000,0
210000,7000,-37.3316666666502,30,-0.005333333333333333,7000,0
240000,8000,-42.66499999993321,30,-0.005333333333333333,8000,0
270000,9000,-47.998333333216216,30,-0.005333333333333333,9000,0
300000,10000,-53.331666666499224,30,-0.005333333333333333,10000,0
