steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,0.5860785201750706,10,0.5860785201750706,1,0
20,2,-0.6043443230321327,10,-1.1904228432072033,2,0
30,3,-0.6113443230321327,10,-0.007,3,0
40,4,-0.6173443230321327,10,-0.006,3,0
50,5,-1.8665963383914455,10,-1.2492520153593125,4,0
60,6,-2.7780973861397555,10,-0.9115010477483102,5,0
70,7,-2.307304898758967,10,0.47079248738078805,5,0
80,8,-2.3143048987589663,10,-0.007,6,0
90,9,-2.318304898758966,10,-0.004,7,0
100,10,-2.324304898758965,10,-0.006,8,0
120,12,-2.336304898758964,10,-0.005,10,0
140,14,-2.882321716526866,10,-0.005,11,0
170,17,-2.8943217165268647,10,-0.004,14,0
200,20,-2.907321716526863,10,-0.004,17,0
250,25,-2.929321716526861,10,-0.004,22,0
300,30,-2.9493217165268586,10,-0.004,27,0
400,40,-2.991321716526854,10,-0.004,36,0
500,50,-2.0279911758628337,10,-0.004,45,0
600,60,-2.0263788141609105,10,-0.006,52,0
700,70,-2.066378814160906,10,-0.004,62,0
800,80,-2.1103788141609012,10,-0.004,71,0
900,90,-2.156378814160896,10,-0.004,80,0
1000,100,-2.2003788141608913,10,-0.005,89,0
1200,120,-2.4806092471140038,10,-0.005,108,0
1400,140,-2.5666092471139943,10,-0.004,125,0
1700,170,-3.376999589125077,10,-0.005,151,0
2000,200,-0.7683517721150505,10,-0.004,179,0
2500,250,-2.193534967990524,10,-0.004,226,0
3000,300,-0.6332604376078556,10,-1.0139488662968887,272,0
4000,400,3.486771242370192,10,-0.004,361,0
5000,500,3.1034412908844438,10,-0.004,456,0
6000,600,2.1401663284813863,10,-0.5319841814717589,548,0
7000,700,6.1035248149701316,10,-0.004,637,0
8000,800,6.843440555180123,10,-0.005,720,0
9000,900,6.3936439524790725,10,-0.005,811,0
10000,1000,2.3221562262075817,10,-0.005,899,0
12000,1200,2.4504718181406253,10,-0.004,1070,0
14000,1400,-7.224561809367676,10,-0.004,1244,0
17000,1700,-13.9673654020449,10,-0.005,1510,0
20000,2000,-11.325655195337372,10,-0.005,1767,0
25000,2500,-10.384055189455447,10,-0.004,2211,0
30000,3000,-17.374661085388865,10,-0.004,2649,0
40000,4000,-9.027550698043308,10,-0.004,3559,0
50000,5000,-27.416388079008374,10,-0.004,4455,0
60000,6000,-45.59241193029014,10,-0.004,5355,0
70000,7000,-69.77220418845924,10,-0.004,6236,0
80000,8000,-71.97856445618487,10,-0.004,7124,0
90000,9000,-71.32264921465021,10,-0.004,8038,0
100000,10000,-99.33933440198268,10,-0.005,8933,0
