steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-3.0,3,-1.0,1,8.0
18,6,-2.0,3,1.0,2,8.0
21,7,-1.0,3,1.0,3,8.0
24,8,-2.0,3,-1.0,3,10.0
27,9,-1.0,3,1.0,4,10.0
30,10,0.0,3,1.0,5,10.0
36,12,0.0,3,-1.0,6,12.0
42,14,0.0,3,1.0,7,14.0
51,17,1.0,3,-1.0,9,16.0
60,20,2.0,3,1.0,11,18.0
75,25,7.0,3,1.0,16,18.0
90,30,6.0,3,1.0,18,24.0
120,40,8.0,3,1.0,24,32.0
150,50,2.0,3,-1.0,26,48.0
180,60,0.0,3,1.0,30,60.0
210,70,-2.0,3,-1.0,34,72.0
240,80,-8.0,3,-1.0,36,88.0
270,90,-8.0,3,-1.0,41,98.0
300,100,-8.0,3,1.0,46,108.0
360,120,-4.0,3,1.0,58,124.0
420,140,-8.0,3,-1.0,66,148.0
510,170,-8.0,3,1.0,81,178.0
600,200,-14.0,3,1.0,93,214.0
750,250,-18.0,3,-1.0,116,268.0
900,300,-8.0,3,1.0,146,308.0
1200,400,2.0,3,1.0,201,398.0
1500,500,-10.0,3,-1.0,245,510.0
1800,600,-6.0,3,1.0,297,606.0
2100,700,-4.0,3,1.0,348,704.0
2400,800,-12.0,3,-1.0,394,812.0
2700,900,-10.0,3,-1.0,445,910.0
3000,1000,-20.0,3,1.0,490,1020.0
3600,1200,-20.0,3,-1.0,590,1220.0
4200,1400,-10.0,3,-1.0,695,1410.0
5100,1700,24.0,3,1.0,862,1676.0
6000,2000,0.0,3,-1.0,1000,2000.0
7500,2500,-8.0,3,-1.0,1246,2508.0
9000,3000,-6.0,3,1.0,1497,3006.0
12000,4000,22.0,3,-1.0,2011,3978.0
15000,5000,-4.0,3,-1.0,2498,5004.0
18000,6000,-44.0,3,-1.0,2978,6044.0
21000,7000,-12.0,3,1.0,3494,7012.0
24000,8000,0.0,3,-1.0,4000,8000.0
27000,9000,-38.0,3,1.0,4481,9038.0
30000,10000,12.0,3,1.0,5006,9988.0
