steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-4.0,1,1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-6.0,1,1.0,16.0
12,12,-6.0,1,1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-11.0,1,-1.0,28.0
20,20,-12.0,1,-1.0,32.0
25,25,-17.0,1,-1.0,42.0
30,30,-20.0,1,-1.0,50.0
40,40,-26.0,1,-1.0,66.0
50,50,-36.0,1,-1.0,86.0
60,60,-46.0,1,-1.0,106.0
70,70,-56.0,1,-1.0,126.0
80,80,-66.0,1,-1.0,146.0
90,90,-74.0,1,-1.0,164.0
100,100,-82.0,1,-1.0,182.0
120,120,-100.0,1,-1.0,220.0
140,140,-118.0,1,-1.0,258.0
170,170,-138.0,1,-1.0,308.0
200,200,-162.0,1,-1.0,362.0
250,250,-198.0,1,-1.0,448.0
300,300,-234.0,1,-1.0,534.0
400,400,-310.0,1,-1.0,710.0
500,500,-382.0,1,-1.0,882.0
600,600,-462.0,1,-1.0,1062.0
700,700,-538.0,1,-1.0,1238.0
800,800,-620.0,1,1.0,1420.0
900,900,-700.0,1,-1.0,1600.0
1000,1000,-772.0,1,-1.0,1772.0
1200,1200,-934.0,1,-1.0,2134.0
1400,1400,-1090.0,1,-1.0,2490.0
1700,1700,-1330.0,1,-1.0,3030.0
2000,2000,-1566.0,1,-1.0,3566.0
2500,2500,-1968.0,1,-1.0,4468.0
3000,3000,-2346.0,1,-1.0,5346.0
4000,4000,-3160.0,1,-1.0,7160.0
5000,5000,-3948.0,1,-1.0,8948.0
6000,6000,-4734.0,1,-1.0,10734.0
7000,7000,-5524.0,1,-1.0,12524.0
8000,8000,-6272.0,1,-1.0,14272.0
9000,9000,-7064.0,1,-1.0,16064.0
10000,10000,-7822.0,1,-1.0,17822.0
