steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.6935030240866813,1,-1.6935030240866813,2.0
2,2,-3.096843440694246,1,-1.4033404166075647,4.0
3,3,-4.492771199061011,1,-1.3959277583667649,6.0
4,4,-6.227607552441073,1,-1.7348363533800626,8.0
5,5,-5.968776889632775,1,0.25883066280829903,10.0
6,6,-6.5589924020041215,1,-0.5902155123713472,12.0
7,7,-9.184326216429621,1,-2.625333814425499,14.0
8,8,-8.892149828835683,1,0.2921763875939387,16.0
9,9,-7.606999042914897,1,1.2851507859207858,16.0
10,10,-9.195123837226664,1,-1.588124794311768,18.0
12,12,-11.417010664844462,1,-1.485501788886503,22.0
14,14,-13.50623486716287,1,-2.042079916465415,26.0
17,17,-16.03625710400966,1,-1.4568952391962207,32.0
20,20,-17.42855645364548,1,1.5229913274117928,36.0
25,25,-22.564640489265788,1,-2.6045955319970417,46.0
30,30,-27.98296628623955,1,-1.1318664128034956,56.0
40,40,-41.743084289134906,1,1.051758531434843,74.0
50,50,-49.2754055998861,1,0.11784558456927785,92.0
60,60,-54.50178014969848,1,0.09033191600610047,112.0
70,70,-57.61840271855634,1,2.673519072227471,128.0
80,80,-66.8270501920468,1,-0.5652806248547617,146.0
90,90,-71.37771088376421,1,0.05858698294899045,162.0
100,100,-73.75949733277389,1,-0.2219525422878641,180.0
120,120,-97.09676976133763,1,-2.785440167876071,220.0
140,140,-114.34036436300461,1,-1.7217949643450698,256.0
170,170,-138.31222194662593,1,-0.6967584027161627,308.0
200,200,-154.15283185677342,1,-1.7363133209663417,362.0
250,250,-197.78200409056856,1,-1.2558568548252813,452.0
300,300,-232.12862761191306,1,0.08093559053337196,540.0
400,400,-329.30707029422047,1,-1.7357219853753865,720.0
500,500,-420.36523578943195,1,-1.1699819282271755,906.0
600,600,-509.6699059605733,1,-1.3573210815605292,1094.0
700,700,-596.7227554969882,1,-1.4659870031345312,1278.0
800,800,-672.7650644280974,1,-2.3817962052573876,1460.0
900,900,-757.3504338689077,1,-1.0648916111110192,1646.0
1000,1000,-844.0418034774759,1,-1.7085421237703473,1838.0
1200,1200,-1010.5346810531254,1,-1.3321346916800092,2202.0
1400,1400,-1175.3850100362472,1,-0.13204717354311424,2546.0
1700,1700,-1443.6839394996825,1,-0.1830411483534451,3080.0
2000,2000,-1703.8674800536867,1,-1.859741202248625,3620.0
2500,2500,-2125.4407165429106,1,-1.352337232912731,4522.0
3000,3000,-2549.031725548457,1,-1.5657276635372062,5434.0
4000,4000,-3319.5304231529162,1,0.04810270159790431,7212.0
5000,5000,-4086.060091443567,1,-1.513258040688572,9016.0
6000,6000,-4920.010036620635,1,-1.0879892346354878,10822.0
7000,7000,-5703.445313521054,1,-1.7642049620027394,12604.0
8000,8000,-6493.817698192544,1,-2.019063219570075,14362.0
9000,9000,-7325.622002876965,1,-2.079708204611208,16184.0
10000,10000,-8141.96802389064,1,-0.27760964512190456,17990.0
