steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1000.0,1,-1000.0,2.0
2,2,-2000.0,1,-1000.0,4.0
3,3,-3000.0,1,-1000.0,6.0
4,4,-4000.0,1,-1000.0,8.0
5,5,-5000.0,1,-1000.0,10.0
6,6,-6000.0,1,-1000.0,12.0
7,7,-7000.0,1,-1000.0,14.0
8,8,-8000.0,1,-1000.0,16.0
9,9,-9000.0,1,-1000.0,18.0
10,10,-10000.0,1,-1000.0,20.0
12,12,-12000.0,1,-1000.0,24.0
14,14,-14000.0,1,-1000.0,28.0
17,17,-17000.0,1,-1000.0,34.0
20,20,-20000.0,1,-1000.0,40.0
25,25,-25000.0,1,-1000.0,50.0
30,30,-30000.0,1,-1000.0,60.0
40,40,-34000.0,1,-1000.0,74.0
50,50,-42000.0,1,-1000.0,92.0
60,60,-48000.0,1,-1000.0,108.0
70,70,-52000.0,1,1000.0,122.0
80,80,-60000.0,1,-1000.0,140.0
90,90,-70000.0,1,-1000.0,160.0
100,100,-78000.0,1,-1000.0,178.0
120,120,-96000.0,1,-1000.0,216.0
140,140,-112000.0,1,-1000.0,252.0
170,170,-138000.0,1,-1000.0,308.0
200,200,-162000.0,1,-1000.0,362.0
250,250,-206000.0,1,-1000.0,456.0
300,300,-240000.0,1,1000.0,540.0
400,400,-318000.0,1,-1000.0,718.0
500,500,-402000.0,1,-1000.0,902.0
600,600,-492000.0,1,-1000.0,1092.0
700,700,-568000.0,1,-1000.0,1268.0
800,800,-658000.0,1,-1000.0,1458.0
900,900,-742000.0,1,-1000.0,1642.0
1000,1000,-824000.0,1,-1000.0,1824.0
1200,1200,-996000.0,1,-1000.0,2196.0
1400,1400,-1156000.0,1,-1000.0,2556.0
1700,1700,-1386000.0,1,-1000.0,3086.0
2000,2000,-1632000.0,1,-1000.0,3632.0
2500,2500,-2028000.0,1,-1000.0,4528.0
3000,3000,-2442000.0,1,-1000.0,5442.0
4000,4000,-3248000.0,1,-1000.0,7248.0
5000,5000,-4024000.0,1,-1000.0,9024.0
6000,6000,-4822000.0,1,-1000.0,10822.0
7000,7000,-5598000.0,1,-1000.0,12598.0
8000,8000,-6350000.0,1,-1000.0,14350.0
9000,9000,-7170000.0,1,-1000.0,16170.0
10000,10000,-7958000.0,1,-1000.0,17958.0
