steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,2.0
40,2,8.0,20,4.0,4.0
60,3,10.0,20,2.0,4.0
80,4,18.0,20,8.0,4.0
100,5,16.0,20,-2.0,4.0
120,6,12.0,20,-4.0,4.0
140,7,10.0,20,-2.0,6.0
160,8,8.0,20,-2.0,6.0
180,9,4.0,20,-4.0,6.0
200,10,0.0,20,-4.0,6.0
240,12,12.0,20,2.0,6.0
280,14,14.0,20,-2.0,6.0
340,17,8.0,20,-2.0,6.0
400,20,2.0,20,-4.0,10.0
500,25,-2.0,20,-4.0,14.0
600,30,-20.0,20,-4.0,18.0
800,40,-8.0,20,2.0,20.0
1000,50,-12.0,20,6.0,26.0
1200,60,2.0,20,4.0,34.0
1400,70,38.0,20,6.0,44.0
1600,80,36.0,20,-2.0,52.0
1800,90,2.0,20,-12.0,64.0
2000,100,-12.0,20,2.0,74.0
2400,120,-6.0,20,2.0,88.0
2800,140,26.0,20,-4.0,106.0
3400,170,80.0,20,6.0,134.0
4000,200,50.0,20,-4.0,164.0
5000,250,82.0,20,-4.0,204.0
6000,300,32.0,20,0.0,260.0
8000,400,116.0,20,6.0,366.0
10000,500,132.0,20,4.0,454.0
12000,600,106.0,20,-4.0,556.0
14000,700,134.0,20,-2.0,652.0
16000,800,132.0,20,0.0,748.0
18000,900,162.0,20,2.0,830.0
20000,1000,164.0,20,-10.0,938.0
24000,1200,252.0,20,2.0,1134.0
28000,1400,370.0,20,4.0,1340.0
34000,1700,258.0,20,-2.0,1622.0
40000,2000,76.0,20,2.0,1902.0
50000,2500,-44.0,20,-2.0,2406.0
60000,3000,18.0,20,0.0,2914.0
80000,4000,102.0,20,-2.0,3886.0
100000,5000,154.0,20,2.0,4824.0
120000,6000,228.0,20,-2.0,5780.0
140000,7000,434.0,20,-6.0,6734.0
160000,8000,626.0,20,-2.0,7668.0
180000,9000,582.0,20,-4.0,8596.0
200000,10000,334.0,20,-2.0,9538.0
