steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,2.0,1,1.0,0.0
3,3,1.0,1,-1.0,2.0
4,4,0.0,1,-1.0,4.0
5,5,1.0,1,1.0,4.0
6,6,2.0,1,1.0,4.0
7,7,3.0,1,1.0,4.0
8,8,4.0,1,1.0,4.0
9,9,3.0,1,-1.0,6.0
10,10,4.0,1,1.0,6.0
12,12,6.0,1,1.0,6.0
14,14,6.0,1,-1.0,8.0
17,17,3.0,1,-1.0,14.0
20,20,2.0,1,-1.0,18.0
25,25,1.0,1,-1.0,24.0
30,30,0.0,1,1.0,30.0
40,40,8.0,1,1.0,32.0
50,50,10.0,1,1.0,40.0
60,60,10.0,1,1.0,50.0
70,70,6.0,1,-1.0,64.0
80,80,12.0,1,1.0,68.0
90,90,10.0,1,-1.0,80.0
100,100,0.0,1,-1.0,100.0
120,120,4.0,1,-1.0,116.0
140,140,0.0,1,-1.0,140.0
170,170,2.0,1,-1.0,168.0
200,200,-6.0,1,-1.0,206.0
250,250,-24.0,1,-1.0,274.0
300,300,-18.0,1,1.0,318.0
400,400,-16.0,1,1.0,416.0
500,500,-32.0,1,1.0,532.0
600,600,-26.0,1,1.0,626.0
700,700,-30.0,1,1.0,730.0
800,800,-40.0,1,1.0,840.0
900,900,-48.0,1,-1.0,948.0
1000,1000,-40.0,1,1.0,1040.0
1200,1200,-54.0,1,1.0,1254.0
1400,1400,-36.0,1,-1.0,1436.0
1700,1700,-16.0,1,-1.0,1716.0
2000,2000,-26.0,1,1.0,2026.0
2500,2500,-46.0,1,1.0,2546.0
3000,3000,-2.0,1,1.0,3002.0
4000,4000,-14.0,1,-1.0,4014.0
5000,5000,8.0,1,1.0,4992.0
6000,6000,30.0,1,1.0,5970.0
7000,7000,36.0,1,-1.0,6964.0
8000,8000,-2.0,1,-1.0,8002.0
9000,9000,52.0,1,1.0,8948.0
10000,10000,10.0,1,1.0,9990.0
