steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.1,1,0.1,0.9
2,2,0.5,1,0.4,1.5
3,3,1.5,1,1.0,1.5
4,4,1.5,1,0.0,2.5
5,5,2.2,1,0.7000000000000001,2.8
6,6,2.5,1,0.30000000000000004,3.5
7,7,3.3,1,0.8,3.7
8,8,4.3,1,1.0,3.7
9,9,4.5,1,0.2,4.5
10,10,5.5,1,1.0,4.5
12,12,5.9,1,0.2,6.1
14,14,6.8,1,0.30000000000000004,7.2
17,17,7.999999999999999,1,0.1,9.0
20,20,9.6,1,0.9,10.4
25,25,12.0,1,0.5,13.0
30,30,14.6,1,0.1,15.4
40,40,18.9,1,0.6000000000000001,21.099999999999998
50,50,23.1,1,0.9,26.899999999999995
60,60,26.700000000000003,1,0.6000000000000001,33.29999999999999
70,70,31.900000000000002,1,0.5,38.1
80,80,35.30000000000001,1,0.5,44.699999999999996
90,90,40.2,1,0.5,49.800000000000004
100,100,46.4,1,0.4,53.60000000000001
120,120,57.00000000000001,1,0.6000000000000001,63.0
140,140,66.00000000000001,1,0.30000000000000004,73.99999999999999
170,170,83.80000000000003,1,0.0,86.19999999999997
200,200,102.10000000000002,1,0.2,97.89999999999998
250,250,126.70000000000005,1,0.2,123.29999999999995
300,300,155.40000000000012,1,0.9,144.59999999999988
400,400,206.40000000000012,1,1.0,193.59999999999988
500,500,258.30000000000024,1,0.0,241.69999999999987
600,600,303.60000000000025,1,0.8,296.4
700,700,352.7,1,0.1,347.30000000000024
800,800,401.00000000000006,1,0.4,399.00000000000017
900,900,454.9000000000001,1,0.1,445.10000000000014
1000,1000,503.4000000000002,1,0.1,496.6
1200,1200,651.4999999999995,1,1.0,548.5000000000019
1400,1400,850.2999999999995,1,1.0,549.700000000002
1700,1700,1149.1999999999996,1,1.0,550.8000000000019
2000,2000,1448.2999999999995,1,1.0,551.7000000000019
2500,2500,1947.0999999999995,1,1.0,552.9000000000018
3000,3000,2445.1,1,1.0,554.9000000000019
4000,4000,3443.5000000000005,1,1.0,556.500000000002
5000,5000,4438.9000000000015,1,1.0,561.1000000000021
6000,6000,5434.500000000001,1,1.0,565.500000000002
7000,7000,6429.700000000001,1,1.0,570.3000000000021
8000,8000,7425.9000000000015,1,1.0,574.1000000000021
9000,9000,8418.5,1,0.6000000000000001,581.500000000002
10000,10000,9414.599999999999,1,1.0,585.4000000000021
