steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.11574931068784232,1,0.11574931068784232,0.8
2,2,0.5851429293794312,1,0.46939361869158897,1.3
3,3,0.8893897872994168,1,0.30424685791998546,1.5
4,4,1.5083417149198226,1,0.6189519276204057,2.1
5,5,2.2295330037490295,1,0.7211912888292069,2.1
6,6,3.0362372695102113,1,0.806704265761182,2.7
7,7,3.959820837623114,1,0.9235835681129027,3.2
8,8,4.444535739139693,1,0.4847149015165784,3.6
9,9,4.721378663143993,1,0.27684292400430033,4.3
10,10,5.5040865584965495,1,0.782707895352557,4.8999999999999995
12,12,6.050952092847666,1,0.054236395083446444,6.499999999999999
14,14,7.096204739430745,1,0.31525236136942797,6.899999999999999
17,17,7.451797696575259,1,-0.065038598861625,9.599999999999998
20,20,8.389656924637157,1,0.5003465133848338,11.399999999999997
25,25,11.134881883412998,1,0.4887887224841914,14.699999999999998
30,30,13.446863525120673,1,0.3132833083511074,16.900000000000002
40,40,19.925214946071574,1,0.9759756177071869,20.599999999999998
50,50,23.58190741394953,1,0.6824836692070466,25.4
60,60,28.784225171177017,1,0.7817392116393437,29.700000000000003
70,70,34.3510890466985,1,0.7150804137552125,34.30000000000001
80,80,40.52497748564117,1,1.2048113206351379,38.90000000000002
90,90,45.4314504460826,1,0.7937767369362816,43.30000000000002
100,100,50.72311373284679,1,0.2630506817058244,48.50000000000002
120,120,59.80066683384807,1,1.7027287689126402,57.500000000000014
140,140,66.3027741494201,1,0.8827274280728727,68.4
170,170,83.60326526017928,1,0.8014947359792228,82.20000000000005
200,200,98.34393447041865,1,0.5805090207428228,97.00000000000003
250,250,123.29056817925672,1,0.712961637591324,121.6
300,300,141.1829996594776,1,-0.13863570903974845,151.80000000000007
400,400,186.58040378813328,1,0.1284301631663885,207.10000000000005
500,500,242.2692183500997,1,1.0599561857851156,255.50000000000009
600,600,283.61630280614577,1,0.25568942278062523,309.2000000000003
700,700,330.4676635263261,1,0.5320807482650696,361.4
800,800,374.7368791104197,1,0.7906738099789815,413.49999999999983
900,900,432.9267464471365,1,0.6295740730164248,463.3999999999997
1000,1000,485.4180899835049,1,0.34987888737452794,512.2999999999997
1200,1200,654.4499591775558,1,0.6771425313903627,540.6999999999994
1400,1400,854.7406725765692,1,1.3557907996925331,541.4999999999993
1700,1700,1155.741258898743,1,1.2528351483159996,543.2999999999994
2000,2000,1456.2551990099664,1,1.2776153078214447,544.6999999999994
2500,2500,1947.8218007619735,1,1.5246391740360534,556.1000000000016
3000,3000,2443.1464215245173,1,0.9464951586553552,557.2000000000016
4000,4000,3447.572701456219,1,1.0333930534244902,565.5000000000027
5000,5000,4451.0078408456675,1,0.7397811169832533,570.9000000000027
6000,6000,5446.517450862426,1,0.5918574658036386,581.6000000000037
7000,7000,6418.464352854189,1,0.8250234686651078,591.000000000004
8000,8000,7419.028213890511,1,0.8109238654009122,597.300000000004
9000,9000,8414.104934283554,1,0.9622201872805245,600.6000000000041
10000,10000,9404.17590705185,1,0.3596907426803697,604.9000000000041
