steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.012,1,0.012,1.6
3,3,0.015,1,0.003,2.5
4,4,0.045,1,0.03,2.5
5,5,0.069,1,0.024,2.7
6,6,0.093,1,0.024,2.9000000000000004
7,7,0.11699999999999999,1,0.024,3.1000000000000005
8,8,0.126,1,0.009000000000000001,3.8000000000000007
9,9,0.15,1,0.024,4.000000000000001
10,10,0.153,1,0.003,4.900000000000001
12,12,0.162,1,0.0,6.600000000000001
14,14,0.21,1,0.027,7.000000000000001
17,17,0.28800000000000003,1,0.027,7.4
20,20,0.3390000000000001,1,0.015,8.7
25,25,0.43500000000000016,1,0.015,10.499999999999998
30,30,0.5100000000000002,1,0.03,13.0
40,40,0.6780000000000004,1,0.015,17.400000000000002
50,50,0.8640000000000005,1,0.024,21.200000000000003
60,60,0.9990000000000007,1,0.0,26.700000000000003
70,70,1.1700000000000004,1,0.006,31.0
80,80,1.284,1,0.03,37.199999999999996
90,90,1.416,1,0.012,42.8
100,100,1.6229999999999996,1,0.024,45.89999999999999
120,120,1.8749999999999987,1,0.03,57.49999999999999
140,140,2.222999999999998,1,0.024,65.89999999999999
170,170,2.5829999999999966,1,0.015,83.89999999999998
200,200,3.0359999999999943,1,0.018000000000000002,98.8
250,250,3.896999999999993,1,0.015,120.10000000000001
300,300,4.661999999999991,1,0.024,144.60000000000008
400,400,6.20399999999999,1,0.012,193.20000000000007
500,500,7.9469999999999885,1,0.03,235.10000000000008
600,600,9.483,1,0.021,283.9
700,700,10.89600000000001,1,0.027,336.8000000000002
800,800,12.348000000000019,1,0.03,388.40000000000015
900,900,13.719000000000031,1,0.024,442.70000000000005
1000,1000,15.114000000000043,1,0.006,496.20000000000005
1200,1200,19.062000000000182,1,0.027,564.600000000005
1400,1400,24.462000000000387,1,0.027,584.6000000000096
1700,1700,32.54700000000069,1,0.027,615.1000000000164
2000,2000,41.49900000000103,1,0.03,616.7000000000164
2500,2500,56.4060000000016,1,0.03,619.8000000000164
3000,3000,71.31600000000216,1,0.03,622.8000000000163
4000,4000,101.08800000000329,1,0.03,630.4000000000162
5000,5000,130.96800000000442,1,0.03,634.4000000000162
6000,6000,160.74000000000544,1,0.03,642.0000000000161
7000,7000,190.5870000000065,1,0.03,647.1000000000162
8000,8000,220.52100000000758,1,0.03,649.3000000000161
9000,9000,250.44300000000868,1,0.03,651.9000000000162
10000,10000,280.3199999999868,1,0.03,656.0000000000163
