steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
40,1,-0.0037500000000000016,40,-0.0037500000000000016,1,0
80,2,-0.008750000000000006,40,-0.005000000000000003,2,0
120,3,-0.01400000000000001,40,-0.005250000000000003,3,0
160,4,-0.018500000000000013,40,-0.004500000000000002,4,0
200,5,-0.023750000000000018,40,-0.005250000000000003,5,0
240,6,-0.029750000000000023,40,-0.006000000000000004,6,0
280,7,-0.035250000000000024,40,-0.005500000000000003,7,0
320,8,-0.03950000000000003,40,-0.004250000000000002,8,0
360,9,-0.045500000000000033,40,-0.006000000000000004,9,0
400,10,-0.05025000000000004,40,-0.0047500000000000025,10,0
480,12,-0.059250000000000046,40,-0.005750000000000003,12,0
560,14,-0.07100000000000005,40,-0.006250000000000004,14,0
680,17,-0.08600000000000006,40,-0.004500000000000002,17,0
800,20,-0.10075000000000008,40,-0.0047500000000000025,20,0
1000,25,-0.1227500000000001,40,-0.005000000000000003,25,0
1200,30,-0.1472500000000001,40,-0.006250000000000004,30,0
1600,40,-0.19750000000000015,40,-0.0037500000000000016,40,0
2000,50,-0.2507500000000001,40,-0.005000000000000003,50,0
2400,60,-0.30199999999999444,40,-0.0037500000000000016,60,0
2800,70,-0.34099999999999014,40,-0.003250000000000001,70,0
3200,80,-0.38199999999998563,40,-0.0037500000000000016,80,0
3600,90,-0.4314999999999802,40,-0.0037500000000000016,90,0
4000,100,-0.4757499999999753,40,-0.006250000000000004,100,0
4800,120,-0.5634999999999657,40,-0.0035000000000000014,120,0
5600,140,-0.6507499999999561,40,-0.004250000000000002,140,0
6800,170,-0.7817499999999417,40,-0.0035000000000000014,170,0
8000,200,-0.9102499999999275,40,-0.0035000000000000014,200,0
10000,250,-1.1309999999999614,40,-0.004500000000000002,250,0
12000,300,-1.3827500000000454,40,-0.0047500000000000025,300,0
16000,400,-1.8330000000001958,40,-0.005750000000000003,400,0
20000,500,-2.2505000000001125,40,-0.0035000000000000014,500,0
24000,600,-2.7842499999998167,40,-0.003250000000000001,600,0
28000,700,-3.1959999999995885,40,-0.003000000000000001,700,0
32000,800,-3.6399999999993424,40,-0.0047500000000000025,800,0
36000,900,-4.0422499999991945,40,-0.003250000000000001,900,0
40000,1000,-4.343249999999562,40,-0.0047500000000000025,1000,0
48000,1200,-5.021000000000391,40,-0.00175,1200,0
56000,1400,-5.73250000000126,40,-0.002,1400,0
68000,1700,-6.495250000002192,40,-0.0015,1700,0
80000,2000,-7.2652500000031335,40,-0.0015,2000,0
100000,2500,-8.414000000003066,40,-0.0037500000000000016,2500,0
120000,3000,-9.448750000000654,40,-0.002,3000,0
160000,4000,-11.459249999995968,40,-0.0022500000000000003,4000,0
200000,5000,-13.93849999999019,40,-0.0035000000000000014,5000,0
240000,6000,-16.529749999987914,40,-0.002,6000,0
280000,7000,-19.112250000000245,40,-0.004250000000000002,7000,0
320000,8000,-21.552750000011898,40,-0.002,8000,0
360000,9000,-24.123750000024174,40,-0.0027500000000000007,9000,0
400000,10000,-26.71800000003656,40,-0.0022500000000000003,10000,0
