steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.005,10,-0.005,1,0.0
20,2,1.3441708187980779,10,1.3491708187980778,2,0.0
30,3,1.3401708187980783,10,-0.004,3,0.0
40,4,1.333170818798079,10,-0.007,4,0.0
50,5,1.3271708187980797,10,-0.006,5,0.0
60,6,1.3201708187980805,10,-0.007,6,0.0
70,7,0.9506005548534555,10,-0.3695702639446254,7,0.0
80,8,-0.09824943905619565,10,-1.0488499939096512,8,0.0
90,9,1.862388939905485,10,1.9606383789616806,8,0.0
100,10,1.8563889399054856,10,-0.006,8,0.0
120,12,1.8463889399054867,10,-0.005,10,0.0
140,14,2.9574827805935646,10,1.86665280027979,12,0.0
170,17,1.8288276627675724,10,-0.004,15,0.0
200,20,1.8158276627675738,10,-0.007,18,0.0
250,25,2.7573109090781496,10,-0.5003796755211835,22,0.0
300,30,2.2197433257247368,10,-0.006,26,0.0
400,40,2.780317997049458,10,-0.006,35,0.0
500,50,-2.468799080562121,10,-0.006,44,0.0
600,60,-2.5256221625537316,10,-0.005,54,0.0
700,70,-1.4524315838337145,10,1.1281905787200106,62,0.0
800,80,-1.5154315838337076,10,-0.007,72,0.0
900,90,-0.39505530436333247,10,1.2878163268819853,80,0.0
1000,100,-2.556188901013289,10,-0.004,90,0.0
1200,120,-2.6531889010132783,10,-0.004,110,0.0
1400,140,-6.294825792763366,10,-0.005,128,0.0
1700,170,-6.448825792763418,10,-0.005,158,0.0
2000,200,-6.600825792763469,10,-0.005,187,0.0
2500,250,-1.462374623761947,10,-0.004,235,0.0
3000,300,-3.429955974304472,10,0.2556338915089525,285,0.0
4000,400,-5.142603168653961,10,-0.004,383,0.0
5000,500,-5.32797911320395,10,-0.006,475,0.0
6000,600,-3.7586643177355716,10,-0.004,571,0.0
7000,700,0.38107540457345634,10,-0.004,668,0.0
8000,800,-7.677854085448159,10,-0.005,763,0.0
9000,900,-13.857253133504926,10,-0.004,857,0.0
10000,1000,-12.408743695386923,10,-0.006,949,0.0
12000,1200,-17.32342287923865,10,-0.005,1147,0.0
14000,1400,-18.050638506084454,10,-0.004,1333,0.0
17000,1700,-17.242099228193435,10,-0.005,1622,0.0
20000,2000,-19.80609263145402,10,-0.003,1905,0.0
25000,2500,-12.539721042649742,10,-0.057647740003923205,2373,0.0
30000,3000,-23.294331941320255,10,-1.1186677599558161,2841,0.0
40000,4000,-8.270157769501854,10,1.3583859843558728,3790,0.0
50000,5000,-58.95336067168084,10,1.3435101333237116,4708,0.0
60000,6000,-60.556936838043455,10,-0.004,5680,0.0
70000,7000,-70.70061796894562,10,-1.1555197838623514,6646,0.0
80000,8000,-77.91941376947354,10,-0.003,7495,1.0
90000,9000,-82.996729263655,10,-0.004,8469,1.0
100000,10000,-84.46945221503057,10,-0.006,9399,1.0
