steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-1.0,3,1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,1.0,3,1.0,3,4.0
18,6,2.0,3,1.0,4,4.0
21,7,1.0,3,-1.0,4,6.0
24,8,0.0,3,-1.0,4,8.0
27,9,1.0,3,1.0,5,8.0
30,10,0.0,3,-1.0,5,10.0
36,12,0.0,3,-1.0,6,12.0
42,14,2.0,3,1.0,8,12.0
51,17,3.0,3,-1.0,10,14.0
60,20,2.0,3,-1.0,11,18.0
75,25,1.0,3,-1.0,13,24.0
90,30,-2.0,3,-1.0,14,32.0
120,40,-4.0,3,1.0,18,44.0
150,50,-8.0,3,-1.0,21,58.0
180,60,-6.0,3,1.0,27,66.0
210,70,-10.0,3,-1.0,30,80.0
240,80,-12.0,3,-1.0,34,92.0
270,90,-14.0,3,1.0,38,104.0
300,100,-10.0,3,1.0,45,110.0
360,120,2.0,3,1.0,61,118.0
420,140,-2.0,3,-1.0,69,142.0
510,170,-2.0,3,1.0,84,172.0
600,200,4.0,3,-1.0,102,196.0
750,250,12.0,3,-1.0,131,238.0
900,300,-4.0,3,1.0,148,304.0
1200,400,6.0,3,1.0,203,394.0
1500,500,2.0,3,-1.0,251,498.0
1800,600,-4.0,3,-1.0,298,604.0
2100,700,-2.0,3,-1.0,349,702.0
2400,800,0.0,3,1.0,400,800.0
2700,900,-8.0,3,1.0,446,908.0
3000,1000,4.0,3,-1.0,502,996.0
3600,1200,12.0,3,1.0,606,1188.0
4200,1400,2.0,3,1.0,701,1398.0
5100,1700,-2.0,3,1.0,849,1702.0
6000,2000,4.0,3,-1.0,1002,1996.0
7500,2500,-12.0,3,-1.0,1244,2512.0
9000,3000,6.0,3,-1.0,1503,2994.0
12000,4000,10.0,3,1.0,2005,3990.0
15000,5000,-20.0,3,1.0,2490,5020.0
18000,6000,-52.0,3,1.0,2974,6052.0
21000,7000,-78.0,3,1.0,3461,7078.0
24000,8000,-94.0,3,1.0,3953,8094.0
27000,9000,-140.0,3,1.0,4430,9140.0
30000,10000,-100.0,3,1.0,4950,10100.0
