steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-18.0,1,-1.0,38.0
25,25,-21.0,1,1.0,46.0
30,30,-24.0,1,-1.0,54.0
40,40,-30.0,1,-1.0,70.0
50,50,-40.0,1,-1.0,90.0
60,60,-46.0,1,1.0,106.0
70,70,-52.0,1,-1.0,122.0
80,80,-62.0,1,-1.0,142.0
90,90,-66.0,1,-1.0,156.0
100,100,-74.0,1,-1.0,174.0
120,120,-94.0,1,-1.0,214.0
140,140,-114.0,1,-1.0,254.0
170,170,-142.0,1,-1.0,312.0
200,200,-168.0,1,-1.0,368.0
250,250,-202.0,1,-1.0,452.0
300,300,-240.0,1,-1.0,540.0
400,400,-320.0,1,-1.0,720.0
500,500,-398.0,1,-1.0,898.0
600,600,-468.0,1,-1.0,1068.0
700,700,-542.0,1,1.0,1242.0
800,800,-628.0,1,-1.0,1428.0
900,900,-710.0,1,-1.0,1610.0
1000,1000,-792.0,1,1.0,1792.0
1200,1200,-942.0,1,1.0,2142.0
1400,1400,-1110.0,1,-1.0,2510.0
1700,1700,-1352.0,1,-1.0,3052.0
2000,2000,-1590.0,1,-1.0,3590.0
2500,2500,-1986.0,1,-1.0,4486.0
3000,3000,-2382.0,1,-1.0,5382.0
4000,4000,-3100.0,1,-1.0,7100.0
5000,5000,-3830.0,1,-1.0,8830.0
6000,6000,-4528.0,1,1.0,10528.0
7000,7000,-5162.0,1,-1.0,12162.0
8000,8000,-5796.0,1,-1.0,13796.0
9000,9000,-6450.0,1,-1.0,15450.0
10000,10000,-7028.0,1,-1.0,17028.0
