steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.3616579216196167,1,-1.3616579216196167,2.0
2,2,-2.8739758057548883,1,-1.5123178841352716,4.0
3,3,-4.059226224151243,1,-1.1852504183963548,6.0
4,4,-4.936663322362427,1,-0.8774370982111837,8.0
5,5,-6.311591698344319,1,-1.3749283759818924,10.0
6,6,-5.213640418475567,1,1.0979512798687519,10.0
7,7,-6.7542568992334955,1,-1.5406164807579288,12.0
8,8,-8.130674948230356,1,-1.3764180489968603,14.0
9,9,-9.145853342834416,1,-1.0151783946040596,16.0
10,10,-10.48163138709754,1,-1.335778044263125,18.0
12,12,-12.495216351692974,1,-1.1738632295573448,22.0
14,14,-12.411431989038679,1,0.9205154074882111,24.0
17,17,-15.568281542060406,1,-1.1271104056012249,30.0
20,20,-16.200124208689196,1,-0.7688964869580875,34.0
25,25,-21.923022376403686,1,-1.1657741174908958,44.0
30,30,-24.03394150299159,1,-0.6536639040479162,52.0
40,40,-31.361193448974262,1,-0.8437290997365403,70.0
50,50,-40.89418335066948,1,-0.9883299673634165,90.0
60,60,-49.54442141868064,1,-0.8648379465716487,108.0
70,70,-56.180389106318586,1,-0.7996369585040761,124.0
80,80,-61.73678765537496,1,-0.8684883518154372,140.0
90,90,-68.37428740702514,1,-1.1069628581654514,158.0
100,100,-73.6913483296071,1,-0.7946200959127592,174.0
120,120,-84.63988649636305,1,1.2701328490983994,204.0
140,140,-102.43886217585109,1,-1.1143413291280944,242.0
170,170,-127.55292773467737,1,-1.0501048081957527,298.0
200,200,-152.63835681178412,1,0.8091110011806896,352.0
250,250,-195.83236713847825,1,-0.7943692273129237,446.0
300,300,-239.02702602991587,1,-0.9747200197712053,538.0
400,400,-321.8192822252129,1,-1.9024219130613378,724.0
500,500,-401.7600678325621,1,1.288798497775581,900.0
600,600,-484.3563666375471,1,-0.6753455204233524,1084.0
700,700,-569.702155713901,1,-0.9114507863274749,1268.0
800,800,-644.0889877289796,1,-0.6010615355297593,1440.0
900,900,-730.0570064493946,1,-1.0728157046861697,1622.0
1000,1000,-811.6524141887005,1,-1.406518695736555,1804.0
1200,1200,-957.0678279721344,1,-1.2259591323176,2156.0
1400,1400,-1107.3612242706524,1,-1.2289397552212944,2506.0
1700,1700,-1338.7618602597443,1,-1.2231786323113432,3042.0
2000,2000,-1587.3877413738726,1,-1.502800149539903,3592.0
2500,2500,-1998.8085694359538,1,-0.9483562645098399,4502.0
3000,3000,-2368.192273656198,1,-1.3174321365048391,5376.0
4000,4000,-3182.31084143442,1,-1.6517015776504054,7196.0
5000,5000,-3933.077571408315,1,-1.329160333084093,8954.0
6000,6000,-4760.566313850583,1,-1.2146667942432108,10770.0
7000,7000,-5517.051857893749,1,-1.3002584796069514,12532.0
8000,8000,-6302.417879272673,1,-1.078169110695868,14322.0
9000,9000,-7072.211560237373,1,-1.8935218634150046,16094.0
10000,10000,-7793.246149730512,1,-1.3787343717558853,17798.0
