steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-15.0,1,-1.0,32.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-26.0,1,-1.0,56.0
40,40,-28.0,1,1.0,68.0
50,50,-38.0,1,-1.0,88.0
60,60,-48.0,1,-1.0,108.0
70,70,-56.0,1,-1.0,126.0
80,80,-62.0,1,-1.0,142.0
90,90,-68.0,1,-1.0,158.0
100,100,-76.0,1,-1.0,176.0
120,120,-92.0,1,-1.0,212.0
140,140,-102.0,1,-1.0,242.0
170,170,-126.0,1,-1.0,296.0
200,200,-154.0,1,-1.0,354.0
250,250,-188.0,1,-1.0,438.0
300,300,-232.0,1,-1.0,532.0
400,400,-318.0,1,1.0,718.0
500,500,-398.0,1,1.0,898.0
600,600,-480.0,1,-1.0,1080.0
700,700,-562.0,1,-1.0,1262.0
800,800,-644.0,1,-1.0,1444.0
900,900,-728.0,1,-1.0,1628.0
1000,1000,-816.0,1,-1.0,1816.0
1200,1200,-982.0,1,-1.0,2182.0
1400,1400,-1144.0,1,-1.0,2544.0
1700,1700,-1394.0,1,-1.0,3094.0
2000,2000,-1646.0,1,-1.0,3646.0
2500,2500,-2030.0,1,-1.0,4530.0
3000,3000,-2426.0,1,-1.0,5426.0
4000,4000,-3208.0,1,-1.0,7208.0
5000,5000,-4006.0,1,-1.0,9006.0
6000,6000,-4736.0,1,-1.0,10736.0
7000,7000,-5408.0,1,1.0,12408.0
8000,8000,-6064.0,1,1.0,14064.0
9000,9000,-6702.0,1,-1.0,15702.0
10000,10000,-7300.0,1,-1.0,17300.0
