steps,episode,total_return,episode_len,episode_return,total_regret
20,1,0.0,20,0.0,0.0
40,2,-8.0,20,-8.0,2.0
60,3,-8.0,20,0.0,2.0
80,4,-12.0,20,-4.0,2.0
100,5,-8.0,20,4.0,2.0
120,6,-12.0,20,-4.0,2.0
140,7,-16.0,20,-4.0,2.0
160,8,-14.0,20,2.0,4.0
180,9,-12.0,20,2.0,6.0
200,10,-14.0,20,-2.0,8.0
240,12,-14.0,20,2.0,10.0
280,14,-22.0,20,-6.0,14.0
340,17,-18.0,20,0.0,18.0
400,20,-28.0,20,-2.0,20.0
500,25,-30.0,20,2.0,22.0
600,30,-38.0,20,0.0,30.0
800,40,-28.0,20,-2.0,42.0
1000,50,-28.0,20,-2.0,50.0
1200,60,-40.0,20,0.0,66.0
1400,70,-14.0,20,-2.0,76.0
1600,80,-22.0,20,0.0,92.0
1800,90,-20.0,20,2.0,102.0
2000,100,8.0,20,8.0,110.0
2400,120,18.0,20,-2.0,128.0
2800,140,34.0,20,2.0,142.0
3400,170,52.0,20,2.0,160.0
4000,200,18.0,20,-8.0,190.0
5000,250,60.0,20,4.0,234.0
6000,300,66.0,20,0.0,268.0
8000,400,152.0,20,0.0,340.0
10000,500,128.0,20,-4.0,438.0
12000,600,160.0,20,4.0,540.0
14000,700,204.0,20,4.0,626.0
16000,800,250.0,20,6.0,734.0
18000,900,232.0,20,-4.0,834.0
20000,1000,224.0,20,-4.0,946.0
24000,1200,132.0,20,0.0,1150.0
28000,1400,182.0,20,0.0,1348.0
34000,1700,340.0,20,0.0,1596.0
40000,2000,272.0,20,0.0,1920.0
50000,2500,206.0,20,2.0,2536.0
60000,3000,-214.0,20,-2.0,3168.0
80000,4000,-610.0,20,2.0,4460.0
100000,5000,-340.0,20,12.0,5446.0
120000,6000,-142.0,20,0.0,6238.0
140000,7000,8.0,20,2.0,7100.0
160000,8000,20.0,20,0.0,7990.0
180000,9000,270.0,20,2.0,8888.0
200000,10000,178.0,20,0.0,9754.0
