steps,episode,total_return,episode_len,episode_return,total_regret
40,1,-6.0,40,-6.0,2.0
80,2,2.0,40,8.0,2.0
120,3,8.0,40,6.0,2.0
160,4,16.0,40,8.0,2.0
200,5,16.0,40,0.0,4.0
240,6,26.0,40,10.0,4.0
280,7,26.0,40,0.0,6.0
320,8,14.0,40,-12.0,6.0
360,9,16.0,40,2.0,8.0
400,10,30.0,40,14.0,8.0
480,12,30.0,40,2.0,12.0
560,14,32.0,40,0.0,14.0
680,17,22.0,40,-2.0,16.0
800,20,16.0,40,2.0,18.0
1000,25,10.0,40,4.0,26.0
1200,30,0.0,40,-2.0,32.0
1600,40,-14.0,40,-2.0,42.0
2000,50,-30.0,40,8.0,52.0
2400,60,-16.0,40,-4.0,62.0
2800,70,34.0,40,8.0,70.0
3200,80,38.0,40,2.0,82.0
3600,90,54.0,40,-4.0,90.0
4000,100,62.0,40,4.0,100.0
4800,120,30.0,40,-14.0,122.0
5600,140,74.0,40,-2.0,142.0
6800,170,34.0,40,-8.0,178.0
8000,200,40.0,40,-4.0,206.0
10000,250,96.0,40,-12.0,242.0
12000,300,104.0,40,-10.0,294.0
16000,400,92.0,40,-6.0,394.0
20000,500,78.0,40,2.0,502.0
24000,600,-8.0,40,0.0,606.0
28000,700,54.0,40,4.0,698.0
32000,800,-28.0,40,6.0,824.0
36000,900,-62.0,40,4.0,948.0
40000,1000,-206.0,40,2.0,1046.0
48000,1200,-162.0,40,0.0,1242.0
56000,1400,-248.0,40,-8.0,1466.0
68000,1700,-492.0,40,-16.0,1804.0
80000,2000,-598.0,40,4.0,2098.0
100000,2500,-634.0,40,-4.0,2666.0
120000,3000,-524.0,40,6.0,3212.0
160000,4000,-688.0,40,-10.0,4242.0
200000,5000,-498.0,40,0.0,5248.0
240000,6000,-330.0,40,8.0,6214.0
280000,7000,-702.0,40,-8.0,7328.0
320000,8000,-366.0,40,2.0,8396.0
360000,9000,-316.0,40,-6.0,9384.0
400000,10000,-346.0,40,6.0,10258.0
